Corr,Theta,L,b,C_mean,C_std,V_mean,V_std
max,0.2,1,1.0,0.9927200000000012,0.002676116589388371,0.9926,0.0024738633753705985
max,0.2,1,1.1,0.9926198000000016,0.0025877371418967774,0.9925999999999998,0.0025377155080899064
max,0.2,1,1.2,0.9916999333333344,0.0024063444835131947,0.9917,0.002406241883103195
max,0.2,1,1.3,0.9914798000000014,0.002837051435714583,0.9914800000000001,0.002837181700208856
max,0.2,1,1.4,0.9914798000000019,0.002507707311469947,0.9914800000000003,0.0025079074943067598
max,0.2,1,1.5,0.9913600000000011,0.002854890540809258,0.9913599999999999,0.002854890540808879
max,0.2,1,1.6,0.9909998000000012,0.002236098279493846,0.9910000000000001,0.0022360679774997916
max,0.2,1,1.7,0.9808899333333341,0.09691072198676251,0.9808800000000001,0.09701353307657648
max,0.2,1,1.8,0.981159466666668,0.09743259924312365,0.9811600000000001,0.09743600155999835
max,0.2,1,1.9,0.9901995333333344,0.0022717823164506486,0.9902000000000001,0.002271563338320112
max,0.2,1,2.0,0.9800843333333344,0.09727523359748089,0.9800799999999998,0.09732170158808365
max,0.2,4,1.0,0.9927800000000014,0.0024802419236836125,0.9927799999999999,0.002480241923684061
max,0.2,4,1.1,0.9927200000000012,0.002877776919776481,0.9927200000000002,0.0028777769197767945
max,0.2,4,1.2,0.9919797333333343,0.00284934969890875,0.98244,0.09415543744256091
max,0.2,4,1.3,0.9923199333333352,0.002664090171146213,0.98232,0.09875979748865425
max,0.2,4,1.4,0.992199733333335,0.002521820316094163,0.9822000000000002,0.09874391120469149
max,0.2,4,1.5,0.9918391333333346,0.0025413379949242683,0.9818800000000002,0.09871446499880351
max,0.2,4,1.6,0.9922592666666681,0.0026785052041930083,0.98224,0.09875070835188979
max,0.2,4,1.7,0.9908399333333346,0.006515790699524142,0.9523400000000001,0.19441338534164768
max,0.2,4,1.8,0.9902232000000012,0.010290271456521264,0.9425,0.2162367915041286
max,0.2,4,1.9,0.9737678666666677,0.10156469500495204,0.9124800000000001,0.2690869182996453
max,0.2,4,2.0,0.9521464000000006,0.12660873627894378,0.8626400000000001,0.3334680650377184
max,0.4,1,1.0,0.9926399333333346,0.002798300515193643,0.0151,0.0197734670707997
max,0.4,1,1.1,1.0,0.0,0.00964,0.01787373492026778
max,0.4,1,1.2,1.0,0.0,0.00838,0.017590213188020207
max,0.4,1,1.3,1.0,0.0,0.00538,0.013604984380733409
max,0.4,1,1.4,1.0,0.0,0.00522,0.013649600726761203
max,0.4,1,1.5,0.9978918666666649,0.002160073780632253,0.00334,0.010530166190521403
max,0.4,1,1.6,0.9992176,0.002853684638809506,0.0013,0.00431161222746202
max,0.4,1,1.7,0.9649206666666664,0.09788606608592351,0.0013,0.007860661549767934
max,0.4,1,1.8,0.9279943333333326,0.09181298388148713,0.00046,0.0018515939079614624
max,0.4,1,1.9,0.8701395999999995,0.12691750969584728,0.0003,0.002613426869074396
max,0.4,1,2.0,0.7192799333333332,0.13463201791053375,0.00012,0.0011939849245279441
max,0.4,4,1.0,0.9927000000000015,0.002567099530598039,0.0,0.0
max,0.4,4,1.1,1.0,0.0,0.0,0.0
max,0.4,4,1.2,1.0,0.0,0.0,0.0
max,0.4,4,1.3,1.0,0.0,0.0,0.0
max,0.4,4,1.4,1.0,0.0,0.0,0.0
max,0.4,4,1.5,0.9977723999999979,0.0024878838879653325,0.0,0.0
max,0.4,4,1.6,0.9989232,0.004283803033131444,0.0,0.0
max,0.4,4,1.7,0.9777813999999997,0.018686319922933844,0.0,0.0
max,0.4,4,1.8,0.9391861999999992,0.015452963419645197,0.0,0.0
max,0.4,4,1.9,0.8937324666666658,0.025908774260726908,0.0,0.0
max,0.4,4,2.0,0.7168336666666666,0.13048822030913168,0.0,0.0
max,0.6,1,1.0,0.9926599333333347,0.0027430801009081466,0.0,0.0
max,0.6,1,1.1,1.0,0.0,0.0,0.0
max,0.6,1,1.2,1.0,0.0,0.0,0.0
max,0.6,1,1.3,1.0,0.0,0.0,0.0
max,0.6,1,1.4,1.0,0.0,0.0,0.0
max,0.6,1,1.5,0.9878291333333311,0.09809508061809757,0.0,0.0
max,0.6,1,1.6,0.9990074,0.0029074798396165106,0.0,0.0
max,0.6,1,1.7,0.9678299333333331,0.09799139641823443,0.0,0.0
max,0.6,1,1.8,0.9311347999999993,0.09363441538513255,0.0,0.0
max,0.6,1,1.9,0.8826445999999994,0.09166964112844413,0.0,0.0
max,0.6,1,2.0,0.7264274666666667,0.1101581291145901,0.0,0.0
max,0.6,4,1.0,0.9929000000000017,0.002487971060924253,0.0,0.0
max,0.6,4,1.1,1.0,0.0,0.0,0.0
max,0.6,4,1.2,1.0,0.0,0.0,0.0
max,0.6,4,1.3,1.0,0.0,0.0,0.0
