Corr,Theta,L,b,C_mean,C_std,V_mean,V_std
max,0.2,1,1.0,0.9740999333333332,0.004122023828170145,0.96276,0.0030170183957012953
max,0.2,1,1.1,0.973239333333333,0.004174246172796868,0.9624599999999998,0.0030444047037146713
max,0.2,1,1.2,0.9731195999999993,0.004198678397358184,0.9623199999999998,0.003029455396601841
max,0.2,1,1.3,0.9720399333333332,0.0041758359370706434,0.9613999999999997,0.0031048349392520077
max,0.2,1,1.4,0.9722195999999991,0.004371763419440022,0.96156,0.0027361286519460323
max,0.2,1,1.5,0.9719991999999997,0.004185818733665141,0.96116,0.002886936092122584
max,0.2,1,1.6,0.9625318666666658,0.09287318350228375,0.9517799999999998,0.09347808085321392
max,0.2,1,1.7,0.8992125333333334,0.2442879533306363,0.8874999999999998,0.24678077315706748
max,0.2,1,1.8,0.4075425333333334,0.21948983937360042,0.39436,0.22190725630316824
max,0.2,1,1.9,0.08656399999999995,0.06493478346087794,0.07058,0.06355992133412375
max,0.2,1,2.0,0.042702466666666626,0.019685605607595056,0.029120000000000004,0.017824298022643136
max,0.2,4,1.0,0.9732997333333331,0.004736246513855099,0.9632199999999999,0.0034163723450467195
max,0.2,4,1.1,0.9725954666666666,0.004441608505435217,0.9631399999999999,0.0035242587873196857
max,0.2,4,1.2,0.9722737999999996,0.004490886104594353,0.9628200000000001,0.0033358057497402368
max,0.2,4,1.3,0.9721521333333333,0.004585183808747102,0.96262,0.0034022933442018227
max,0.2,4,1.4,0.9720916666666669,0.004521297490764502,0.96236,0.0032542894769826513
max,0.2,4,1.5,0.9578339333333331,0.09950325768020522,0.94356,0.13158588982105945
max,0.2,4,1.6,0.8572168666666665,0.298888852416866,0.8383799999999998,0.3217305325889975
max,0.2,4,1.7,0.5114385333333334,0.4613606771391483,0.48876,0.4741414793076007
max,0.2,4,1.8,0.13733799999999988,0.24614901357149926,0.11196000000000002,0.2560293701902186
max,0.2,4,1.9,0.036618599999999946,0.01889672865974426,0.012780000000000003,0.016802130817250533
max,0.2,4,2.0,0.035707399999999945,0.015470078126499549,0.012120000000000002,0.01376900867891367
