Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,4,max,0.4,4,2.0,proportional,,memory,0.0,0.7489473333333337,0.18311296223187862,0.0162,0.022484661438411744
BA,4,max,0.4,4,2.0,proportional,,amnesic,0.0,0.7220560000000003,0.08846455502126921,0.0,0.0
BA,4,max,0.4,4,1.9,proportional,,memory,0.0,0.8599870000000003,0.15157587190688818,0.05789999999999997,0.3446189054593494
BA,4,max,0.4,4,1.9,proportional,,amnesic,0.0,0.8357850000000001,0.08905609230828755,0.0,0.0
BA,4,max,0.4,4,1.8,proportional,,memory,0.0,0.9322643333333328,0.06387750817080395,0.06519999999999999,0.34806459170676923
BA,4,max,0.4,4,1.8,proportional,,amnesic,0.0,0.904270666666666,0.08317543342972245,0.0,0.0
BA,4,max,0.4,4,1.7,proportional,,memory,0.0,0.962836,0.05244037403036369,0.08220000000000001,0.21183569104378985
BA,4,max,0.4,4,1.7,proportional,,amnesic,0.0,0.9415759999999999,0.07477962501466143,0.0,0.0
BA,4,max,0.4,4,1.6,proportional,,memory,0.0,0.9808286666666668,0.02032830059028319,0.13540000000000002,0.2899304054424096
BA,4,max,0.4,4,1.6,proportional,,amnesic,0.0,0.9645363333333332,0.09915536160714886,0.0,0.0
BA,4,max,0.4,4,1.5,proportional,,memory,0.0,0.9143206666666668,0.19176805908179806,0.22159999999999996,0.38724286952763887
BA,4,max,0.4,4,1.5,proportional,,amnesic,0.0,0.9901609999999998,0.01434846802120572,0.0,0.0
BA,4,max,0.4,4,1.4,proportional,,memory,0.0,0.9985379999999999,0.006372710255456571,0.2624,0.07733459769081366
BA,4,max,0.4,4,1.4,proportional,,amnesic,0.0,0.9770156666666667,0.07168388249886551,0.0,0.0
BA,4,max,0.4,4,1.3,proportional,,memory,0.0,0.9954019999999998,0.01013323620567542,0.29259999999999997,0.4084625319414254
BA,4,max,0.4,4,1.3,proportional,,amnesic,0.0,0.9801176666666664,0.0679622653561031,0.0,0.0
BA,4,max,0.4,4,1.2,proportional,,memory,0.0,0.9730416666666672,0.1039578690704397,0.29429999999999995,0.40724109566692795
BA,4,max,0.4,4,1.2,proportional,,amnesic,0.0,0.9979706666666667,0.008845658922758709,0.0,0.0
BA,4,max,0.4,4,1.1,proportional,,memory,0.0,0.9969286666666667,0.007644214398993629,0.27670000000000006,0.36388584748516944
BA,4,max,0.4,4,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.4,4,1.0,proportional,,memory,0.0,0.9777640000000009,0.058790571935000306,0.44910000000000005,0.44595985245311043
BA,4,max,0.4,4,1.0,proportional,,amnesic,0.0,0.9713893333333334,0.08376678682575286,0.0,0.0
BA,4,max,0.4,3,2.0,proportional,,memory,0.0,0.7625078666666667,0.19120103616497486,0.10414,0.26693268889366095
BA,4,max,0.4,3,2.0,proportional,,amnesic,0.0,0.7055053333333334,0.1660782999725665,0.0,0.0
BA,4,max,0.4,3,1.9,proportional,,memory,0.0,0.8812637333333335,0.18195141723809446,0.15099999999999997,0.3182541751493607
BA,4,max,0.4,3,1.9,proportional,,amnesic,0.0,0.8683044000000001,0.15313779169890684,0.0,0.0
BA,4,max,0.4,3,1.8,proportional,,memory,0.0,0.9364077333333336,0.1348034570533297,0.18431999999999998,0.34538137992659645
BA,4,max,0.4,3,1.8,proportional,,amnesic,0.0,0.9199079333333334,0.13003100771292977,0.0,0.0
BA,4,max,0.4,3,1.7,proportional,,memory,0.0,0.9795272000000003,0.0166725271744335,0.21073999999999998,0.36943802240700674
BA,4,max,0.4,3,1.7,proportional,,amnesic,0.0,0.9643335333333336,0.09850612549235482,0.0,0.0
BA,4,max,0.4,3,1.6,proportional,,memory,0.0,0.9880049333333335,0.0981514338588648,0.24141999999999997,0.3810310533276782
BA,4,max,0.4,3,1.6,proportional,,amnesic,0.0,0.9884624000000001,0.09943213073591677,0.0,0.0
BA,4,max,0.4,3,1.5,proportional,,memory,0.0,0.9977911333333332,0.003663601756013554,0.24772,0.37821369832410884
BA,4,max,0.4,3,1.5,proportional,,amnesic,0.0,0.9975647999999998,0.0028862373937936143,0.0,0.0
BA,4,max,0.4,3,1.4,proportional,,memory,0.0,0.99792,0.0038876213807414904,0.29523999999999995,0.40727020809285813
BA,4,max,0.4,3,1.4,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.4,3,1.3,proportional,,memory,0.0,0.9981600000000003,0.0034255510505607095,0.3023,0.3949038743795761
BA,4,max,0.4,3,1.3,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.4,3,1.2,proportional,,memory,0.0,0.9979969333333334,0.003487252649292536,0.3342000000000001,0.40799906862638796
BA,4,max,0.4,3,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.4,3,1.1,proportional,,memory,0.0,0.9975729333333335,0.003722916994925947,0.3794999999999999,0.42729927451377675
BA,4,max,0.4,3,1.1,proportional,,amnesic,0.0,0.9999786666666667,0.00021226398658278847,0.0,0.0
BA,4,max,0.4,3,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.4322,0.43557359883261987
BA,4,max,0.4,3,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.0,0.0
BA,4,max,0.4,2,2.0,proportional,,memory,0.0,0.8103012666666666,0.14553870222710913,0.20625999999999997,0.34121777855205604
BA,4,max,0.4,2,2.0,proportional,,amnesic,0.0,0.6754210666666666,0.21439188752214175,0.0,0.0
BA,4,max,0.4,2,1.9,proportional,,memory,0.0,0.9091794666666669,0.1347993139701634,0.24012,0.3633935409442496
BA,4,max,0.4,2,1.9,proportional,,amnesic,0.0,0.838233,0.21156579940660436,0.0,0.0
BA,4,max,0.4,2,1.8,proportional,,memory,0.0,0.9401403333333336,0.1344702529330889,0.2946599999999999,0.40606541886745295
BA,4,max,0.4,2,1.8,proportional,,amnesic,0.0,0.9215356,0.13177062447962792,0.0,0.0
BA,4,max,0.4,2,1.7,proportional,,memory,0.0,0.9628244666666669,0.1375555604597002,0.33135999999999993,0.4165080436198081
BA,4,max,0.4,2,1.7,proportional,,amnesic,0.0,0.9636609333333334,0.09852760536810652,0.0,0.0
BA,4,max,0.4,2,1.6,proportional,,memory,0.0,0.9866831333333335,0.0979922076378412,0.35922000000000004,0.4206044122450452
