Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
ER,16,1.1,-0.1,0.008159999999999999,0.05712,0.0,0.0,4151.8,0.02
ER,16,1.2,-0.1,0.0,0.0,0.0,0.0,211.36,0.0
ER,16,1.3,-0.1,0.0,0.0,0.0002,0.0006,72.18,0.0
ER,16,1.4,-0.1,0.0,0.0,0.00064,0.0009329523031752481,42.14,0.0
ER,16,1.5,-0.1,0.0,0.0,0.0007600000000000002,0.001123565752415051,26.08,0.0
ER,16,1.6,-0.1,0.0,0.0,0.0014000000000000002,0.0017088007490635062,15.58,0.0
ER,16,1.7,-0.1,0.0,0.0,0.0010400000000000001,0.001076289923765897,12.94,0.0
ER,16,1.8,-0.1,0.0,0.0,0.0012400000000000002,0.0015435025105259791,9.48,0.0
ER,16,1.9,-0.1,0.0,0.0,0.0012400000000000002,0.00132,8.38,0.0
ER,16,2.0,-0.1,0.0,0.0,0.0018,0.00204939015319192,7.04,0.0
ER,16,1.1,-0.05,0.005639999999999999,0.039479999999999994,0.0,0.0,4838.16,0.02
ER,16,1.2,-0.05,0.0,0.0,8e-05,0.00039191835884530855,281.54,0.0
ER,16,1.3,-0.05,0.0,0.0,0.00016,0.0005425863986500215,73.74,0.0
ER,16,1.4,-0.05,0.0,0.0,0.0005200000000000001,0.000964157663455516,36.24,0.0
ER,16,1.5,-0.05,0.0,0.0,0.00064,0.0010910545357588686,22.18,0.0
ER,16,1.6,-0.05,0.0,0.0,0.0008,0.0012649110640673518,14.98,0.0
ER,16,1.7,-0.05,0.0,0.0,0.0011200000000000001,0.001142628548566856,12.08,0.0
ER,16,1.8,-0.05,0.0,0.0,0.00084,0.0011377170122662315,8.82,0.0
ER,16,1.9,-0.05,0.0,0.0,0.0014800000000000002,0.0014864723340849639,8.18,0.0
ER,16,2.0,-0.05,0.0,0.0,0.0018400000000000003,0.002556247249387273,6.76,0.0
ER,16,1.1,0.0,0.00764,0.05348,0.0,0.0,3913.4,0.02
ER,16,1.2,0.0,0.0,0.0,0.0,0.0,291.44,0.0
ER,16,1.3,0.0,0.0,0.0,0.00024,0.0006499230723708769,68.54,0.0
ER,16,1.4,0.0,0.0,0.0,0.00024,0.0006499230723708769,32.18,0.0
ER,16,1.5,0.0,0.0,0.0,0.0006000000000000001,0.0010770329614269009,17.9,0.0
ER,16,1.6,0.0,0.0,0.0,0.0006000000000000002,0.0009165151389911681,12.76,0.0
ER,16,1.7,0.0,0.0,0.0,0.00116,0.0015538339679644028,10.72,0.0
ER,16,1.8,0.0,0.0,0.0,0.00124,0.00159449051423958,8.18,0.0
ER,16,1.9,0.0,0.0,0.0,0.00128,0.0016375591592366976,7.76,0.0
ER,16,2.0,0.0,0.0,0.0,0.00148,0.0019518196638009363,6.28,0.0
ER,16,1.1,0.05,0.011240000000000002,0.05567173789275848,0.0,0.0,3425.62,0.04
ER,16,1.2,0.05,0.0,0.0,8e-05,0.00039191835884530855,215.22,0.0
ER,16,1.3,0.05,0.0,0.0,0.0002,0.0006,53.7,0.0
ER,16,1.4,0.05,0.0,0.0,0.0004,0.0008,28.52,0.0
ER,16,1.5,0.05,0.0,0.0,0.0004000000000000001,0.0008,14.22,0.0
ER,16,1.6,0.05,0.0,0.0,0.00084,0.0012705904139414873,12.0,0.0
ER,16,1.7,0.05,0.0,0.0,0.00124,0.0016438978070427617,10.6,0.0
ER,16,1.8,0.05,0.0,0.0,0.00084,0.0015538339679644025,7.88,0.0
ER,16,1.9,0.05,0.0,0.0,0.00128,0.0016375591592366976,6.76,0.0
ER,16,2.0,0.05,0.0,0.0,0.00168,0.0024119701490690135,5.74,0.0
ER,16,1.1,0.1,0.011439999999999999,0.05604575273827625,0.0,0.0,3768.78,0.04
ER,16,1.2,0.1,0.0,0.0,0.0,0.0,203.72,0.0
ER,16,1.3,0.1,0.0,0.0,0.00016,0.0005425863986500215,47.54,0.0
ER,16,1.4,0.1,0.0,0.0,8e-05,0.00039191835884530855,31.2,0.0
ER,16,1.5,0.1,0.0,0.0,0.00043999999999999996,0.00092,15.1,0.0
ER,16,1.6,0.1,0.0,0.0,0.00068,0.0010283968105745953,12.18,0.0
ER,16,1.7,0.1,0.0,0.0,0.001,0.0014560219778561034,8.9,0.0
ER,16,1.8,0.1,0.0,0.0,0.0007600000000000002,0.0011926441212700457,7.3,0.0
ER,16,1.9,0.1,0.0,0.0,0.00136,0.0020175232340669588,6.44,0.0
ER,16,2.0,0.1,0.0,0.0,0.0012000000000000003,0.0021166010488516723,5.54,0.0
ER,16,1.1,0.2,0.00996,0.049478059784110365,0.0,0.0,3986.3,0.04
ER,16,1.2,0.2,0.0,0.0,0.0,0.0,170.08,0.0
ER,16,1.3,0.2,0.0,0.0,0.00012,0.00047497368348151667,58.24,0.0
ER,16,1.4,0.2,0.0,0.0,8e-05,0.00039191835884530855,19.62,0.0
ER,16,1.5,0.2,0.0,0.0,0.00036,0.0008662563131083087,12.38,0.0
ER,16,1.6,0.2,0.0,0.0,0.00068,0.0010283968105745953,9.2,0.0
ER,16,1.7,0.2,0.0,0.0,0.0007600000000000002,0.0011926441212700457,7.1,0.0
ER,16,1.8,0.2,0.0,0.0,0.0005600000000000001,0.0009830564581955607,6.46,0.0
ER,16,1.9,0.2,0.0,0.0,0.0005600000000000001,0.0012026637102698326,5.76,0.0
ER,16,2.0,0.2,0.0,0.0,0.0014800000000000002,0.0034365098573989287,5.1,0.0
ER,16,1.1,0.5,0.0,0.0,0.0,0.0,3824.34,0.0
ER,16,1.2,0.5,0.0,0.0,0.0,0.0,182.06,0.0
ER,16,1.3,0.5,0.0,0.0,0.0,0.0,39.14,0.0
ER,16,1.4,0.5,0.0,0.0,0.00016,0.0008799999999999999,22.64,0.0
ER,16,1.5,0.5,0.0,0.0,0.00012,0.0006209669878504009,11.82,0.0
ER,16,1.6,0.5,0.0,0.0,0.00032,0.001085172797300043,9.36,0.0
ER,16,1.7,0.5,0.0,0.0,0.00028000000000000003,0.0009806120537705011,8.1,0.0
ER,16,1.8,0.5,0.0,0.0,0.00036,0.001034601372510205,6.22,0.0
ER,16,1.9,0.5,0.0,0.0,0.0005200000000000001,0.0013746272221951668,5.32,0.0
ER,16,2.0,0.5,0.0,0.0,0.001,0.003104834939252005,4.72,0.0
BA,4,1.1,-0.1,1.0,0.0,0.39396000000000003,0.39347975602310215,98.92,0.0
BA,4,1.2,-0.1,1.0,0.0,0.3607599999999999,0.4038060702862204,113.02,0.0
BA,4,1.3,-0.1,1.0,0.0,0.31632,0.37435306543422353,132.84,0.0
BA,4,1.4,-0.1,0.98,0.13999999999999999,0.30860000000000004,0.3773077788755488,154.22,0.0
BA,4,1.5,-0.1,1.0,0.0,0.31076,0.3908315012892385,208.28,0.0
BA,4,1.6,-0.1,1.0,0.0,0.27928000000000003,0.3703074960083849,424.2,0.0
BA,4,1.7,-0.1,1.0,0.0,0.23792000000000002,0.3464311671890969,2473.48,0.0
BA,4,1.8,-0.1,0.90156,0.10215853561988836,0.20180000000000003,0.33589313776854685,9994.4,0.56
BA,4,1.9,-0.1,0.7630800000000001,0.16013604715990715,0.16772,0.31606100930041975,12351.96,0.82
BA,4,2.0,-0.1,0.58564,0.18844360005051908,0.12323999999999997,0.26770189091599633,12920.6,0.86
BA,4,1.1,-0.05,1.0,0.0,0.36536,0.4020040676411123,104.24,0.0
BA,4,1.2,-0.05,1.0,0.0,0.34568,0.39457812610432424,111.48,0.0
BA,4,1.3,-0.05,1.0,0.0,0.31028,0.3769133608669239,133.96,0.0
BA,4,1.4,-0.05,1.0,0.0,0.30568,0.378638690046329,154.62,0.0
BA,4,1.5,-0.05,1.0,0.0,0.28508,0.3683159969374124,225.74,0.0
BA,4,1.6,-0.05,1.0,0.0,0.2548,0.3572974111297198,466.86,0.0
BA,4,1.7,-0.05,1.0,0.0,0.22640000000000002,0.3327336472315356,2288.24,0.0
BA,4,1.8,-0.05,0.8903200000000001,0.16243908889180586,0.17572000000000002,0.31432187578977067,9677.52,0.52
BA,4,1.9,-0.05,0.7651600000000001,0.1597172952438151,0.15012,0.2941573483698818,12446.6,0.82
BA,4,2.0,-0.05,0.5879200000000001,0.15905016064122665,0.11404,0.2627304291474438,13512.32,0.9
BA,4,1.1,0.0,1.0,0.0,0.33027999999999996,0.3842967624115509,105.56,0.0
BA,4,1.2,0.0,1.0,0.0,0.31088,0.3747372754344035,115.7,0.0
BA,4,1.3,0.0,1.0,0.0,0.30732000000000004,0.3774005002646393,128.5,0.0
BA,4,1.4,0.0,1.0,0.0,0.28892,0.36803960873797265,157.92,0.0
BA,4,1.5,0.0,1.0,0.0,0.2746,0.3695325154840911,236.18,0.0
BA,4,1.6,0.0,1.0,0.0,0.24192,0.34345560644717976,467.26,0.0
BA,4,1.7,0.0,0.98,0.13999999999999999,0.19631999999999997,0.31032199019727885,2391.82,0.0
BA,4,1.8,0.0,0.8901200000000001,0.15929615689024015,0.14344,0.2650859603977548,10005.7,0.54
BA,4,1.9,0.0,0.7525200000000001,0.1526982959957314,0.10904,0.23248199586204515,13187.26,0.86
BA,4,2.0,0.0,0.5786399999999999,0.14749017051993668,0.09288,0.23120628365163434,13814.54,0.92
BA,4,1.1,0.05,1.0,0.0,0.31364000000000003,0.37598376347922263,109.74,0.0
BA,4,1.2,0.05,1.0,0.0,0.30828,0.3764775711778857,118.98,0.0
BA,4,1.3,0.05,1.0,0.0,0.29140000000000005,0.3665899616738025,139.16,0.0
BA,4,1.4,0.05,1.0,0.0,0.2762,0.3691649495821617,163.0,0.0
BA,4,1.5,0.05,1.0,0.0,0.24336000000000002,0.3414921234816405,238.98,0.0
BA,4,1.6,0.05,0.96,0.19595917942265428,0.21896000000000002,0.326867126520854,473.78,0.0
BA,4,1.7,0.05,0.98,0.13999999999999999,0.17316000000000004,0.28719863230872117,2646.16,0.0
BA,4,1.8,0.05,0.8888799999999999,0.1591819889309089,0.12228,0.23672938474131172,10496.2,0.56
BA,4,1.9,0.05,0.74276,0.14967104730040476,0.10172,0.23113909578433503,13381.78,0.88
BA,4,2.0,0.05,0.5317200000000001,0.21438246570090566,0.09152,0.2314574898334465,12618.42,0.84
BA,4,1.1,0.1,1.0,0.0,0.31288000000000005,0.3776991734171522,109.26,0.0
BA,4,1.2,0.1,1.0,0.0,0.2962,0.3650116162535105,121.62,0.0
BA,4,1.3,0.1,1.0,0.0,0.27408,0.35515629460844417,134.56,0.0
BA,4,1.4,0.1,1.0,0.0,0.23512,0.3250509277021064,168.2,0.0
BA,4,1.5,0.1,0.96,0.19595917942265428,0.21836000000000003,0.3255942726769008,237.8,0.0
