Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
ER,16,1.1,-0.1,1.0,0.0,0.9961599999999998,0.002648471257159498,60.9,0.0
ER,16,1.2,-0.1,0.84,0.36660605559646725,0.8368800000000001,0.36525019589317126,127.18,0.0
ER,16,1.3,-0.1,0.18,0.38418745424597095,0.17964000000000002,0.3830034339271647,105.78,0.0
ER,16,1.4,-0.1,0.0,0.0,0.00043999999999999996,0.0008284926070883193,60.4,0.0
ER,16,1.5,-0.1,0.0,0.0,0.00068,0.0009474175425861609,30.12,0.0
ER,16,1.6,-0.1,0.0,0.0,0.0015200000000000003,0.00136,20.96,0.0
ER,16,1.7,-0.1,0.0,0.0,0.0015600000000000002,0.0011516944039110376,17.08,0.0
ER,16,1.8,-0.1,0.0,0.0,0.0017200000000000002,0.0012006664815842906,12.3,0.0
ER,16,1.9,-0.1,0.0,0.0,0.00192,0.0014945233353815524,10.96,0.0
ER,16,2.0,-0.1,0.0,0.0,0.0020800000000000003,0.0014399999999999999,9.0,0.0
ER,16,1.1,-0.05,0.96,0.19595917942265428,0.9564400000000001,0.19524601506816985,152.18,0.0
ER,16,1.2,-0.05,0.38,0.4853864439804639,0.37856,0.48330430000156227,276.16,0.0
ER,16,1.3,-0.05,0.0,0.0,0.0002,0.0006,96.9,0.0
ER,16,1.4,-0.05,0.0,0.0,0.0005200000000000001,0.0010438390680559911,40.48,0.0
ER,16,1.5,-0.05,0.0,0.0,0.0008799999999999999,0.001070327052820772,25.2,0.0
ER,16,1.6,-0.05,0.0,0.0,0.0012000000000000003,0.0013266499161421598,16.5,0.0
ER,16,1.7,-0.05,0.0,0.0,0.0016000000000000003,0.0014422205101855957,13.04,0.0
ER,16,1.8,-0.05,0.0,0.0,0.0015200000000000003,0.001417603611733548,11.18,0.0
ER,16,1.9,-0.05,0.0,0.0,0.002,0.0017888543819998318,9.46,0.0
ER,16,2.0,-0.05,0.0,0.0,0.00232,0.0019332873557751315,7.78,0.0
ER,16,1.1,0.0,0.54136,0.49701290767946865,0.53776,0.49633370064906934,2127.94,0.02
ER,16,1.2,0.0,0.0,0.0,8e-05,0.0005600000000000001,238.2,0.0
ER,16,1.3,0.0,0.0,0.0,0.00016,0.0005425863986500215,94.84,0.0
ER,16,1.4,0.0,0.0,0.0,0.0005200000000000001,0.0008772684879784524,31.9,0.0
ER,16,1.5,0.0,0.0,0.0,0.00116,0.001332066064427737,21.6,0.0
ER,16,1.6,0.0,0.0,0.0,0.0015600000000000002,0.0016144348856488452,13.72,0.0
ER,16,1.7,0.0,0.0,0.0,0.00196,0.0016243152403397562,10.26,0.0
ER,16,1.8,0.0,0.0,0.0,0.0021600000000000005,0.0017362027531368563,9.64,0.0
ER,16,1.9,0.0,0.0,0.0,0.0017600000000000003,0.001581897594662815,7.96,0.0
ER,16,2.0,0.0,0.0,0.0,0.0018400000000000003,0.002072293415518179,7.0,0.0
ER,16,1.1,0.05,0.00668,0.046759999999999996,0.0,0.0,3251.24,0.02
ER,16,1.2,0.05,0.0,0.0,8e-05,0.00039191835884530855,227.14,0.0
ER,16,1.3,0.05,0.0,0.0,0.00032,0.0007332121111929345,56.88,0.0
ER,16,1.4,0.05,0.0,0.0,0.0008,0.001131370849898476,25.74,0.0
ER,16,1.5,0.05,0.0,0.0,0.0012,0.0012649110640673518,15.94,0.0
ER,16,1.6,0.05,0.0,0.0,0.00136,0.0014664242223858689,12.22,0.0
ER,16,1.7,0.05,0.0,0.0,0.00188,0.002169239498073,10.02,0.0
ER,16,1.8,0.05,0.0,0.0,0.0015199999999999999,0.0019823218709382187,7.94,0.0
ER,16,1.9,0.05,0.0,0.0,0.0024000000000000002,0.0025612496949731396,6.86,0.0
ER,16,2.0,0.05,0.0,0.0,0.0022,0.0024083189157584587,6.0,0.0
ER,16,1.1,0.1,0.011680000000000001,0.05762271774222386,0.0,0.0,3776.06,0.04
ER,16,1.2,0.1,0.0,0.0,0.00012,0.00047497368348151667,209.52,0.0
ER,16,1.3,0.1,0.0,0.0,0.00032,0.0007332121111929344,51.54,0.0
ER,16,1.4,0.1,0.0,0.0,0.0010400000000000001,0.00128,17.3,0.0
ER,16,1.5,0.1,0.0,0.0,0.00116,0.0012705904139414873,13.56,0.0
ER,16,1.6,0.1,0.0,0.0,0.0016,0.0014966629547095765,9.92,0.0
ER,16,1.7,0.1,0.0,0.0,0.0010800000000000002,0.0016104657711357919,8.84,0.0
ER,16,1.8,0.1,0.0,0.0,0.00192,0.0018744599222175974,7.54,0.0
ER,16,1.9,0.1,0.0,0.0,0.0024400000000000003,0.002947269923166183,5.86,0.0
ER,16,2.0,0.1,0.0,0.0,0.0028400000000000005,0.003557302348690648,5.62,0.0
ER,16,1.1,0.2,0.0,0.0,4e-05,0.00028,2457.56,0.0
ER,16,1.2,0.2,0.0,0.0,0.0004,0.0008944271909999159,72.88,0.0
ER,16,1.3,0.2,0.0,0.0,0.00092,0.002406989821332862,31.2,0.0
ER,16,1.4,0.2,0.0,0.0,0.0015199999999999999,0.0018573098825990237,9.76,0.0
ER,16,1.5,0.2,0.0,0.0,0.00144,0.0016511813952440233,9.02,0.0
ER,16,1.6,0.2,0.0,0.0,0.0016,0.0018330302779823362,7.04,0.0
ER,16,1.7,0.2,0.0,0.0,0.00228,0.0029396598442677003,6.04,0.0
ER,16,1.8,0.2,0.0,0.0,0.00264,0.0027258760059841315,5.44,0.0
ER,16,1.9,0.2,0.0,0.0,0.0032400000000000007,0.0032221731797034124,4.92,0.0
ER,16,2.0,0.2,0.0,0.0,0.0038,0.0033526109228480426,4.64,0.0
ER,16,1.1,0.5,0.0,0.0,0.00184,0.003015692291995323,69.36,0.0
ER,16,1.2,0.5,0.0,0.0,0.00268,0.0035010855459414307,10.32,0.0
ER,16,1.3,0.5,0.0,0.0,0.0034000000000000002,0.004331281565541543,4.8,0.0
ER,16,1.4,0.5,0.0,0.0,0.00388,0.004654632101466237,4.62,0.0
ER,16,1.5,0.5,0.0,0.0,0.006160000000000001,0.006284457017117708,3.88,0.0
ER,16,1.6,0.5,0.0,0.0,0.005520000000000001,0.005692942999890303,3.82,0.0
ER,16,1.7,0.5,0.0,0.0,0.005840000000000001,0.005319248067161372,3.64,0.0
ER,16,1.8,0.5,0.0,0.0,0.0065200000000000015,0.0063221515325085345,3.58,0.0
ER,16,1.9,0.5,0.0,0.0,0.006480000000000001,0.006099967213026641,3.5,0.0
ER,16,2.0,0.5,0.0,0.0,0.0068000000000000005,0.006013318551349163,3.44,0.0
BA,4,1.1,-0.1,1.0,0.0,0.9965600000000001,0.0016019987515600643,85.96,0.0
BA,4,1.2,-0.1,1.0,0.0,0.9966799999999999,0.001630214709785188,87.26,0.0
BA,4,1.3,-0.1,1.0,0.0,0.99684,0.0017012936254509406,99.72,0.0
BA,4,1.4,-0.1,1.0,0.0,0.997,0.001754992877478426,97.68,0.0
BA,4,1.5,-0.1,1.0,0.0,0.9966800000000002,0.002139532659250615,105.76,0.0
BA,4,1.6,-0.1,1.0,0.0,0.9962000000000001,0.002660826939130016,103.06,0.0
BA,4,1.7,-0.1,1.0,0.0,0.9966000000000002,0.002126029162546932,114.42,0.0
BA,4,1.8,-0.1,1.0,0.0,0.9968800000000002,0.0020846102753272634,120.96,0.0
BA,4,1.9,-0.1,0.9745199999999999,0.14440321880069018,0.9571600000000001,0.19497654833338288,433.22,0.02
BA,4,2.0,-0.1,0.96408,0.1588085438507639,0.9375600000000002,0.2365360995704461,733.58,0.04
BA,4,1.1,-0.05,1.0,0.0,0.99692,0.001397712416772493,89.34,0.0
BA,4,1.2,-0.05,1.0,0.0,0.9966000000000002,0.0018867962264113225,96.44,0.0
BA,4,1.3,-0.05,1.0,0.0,0.99708,0.0013977124167724928,100.56,0.0
BA,4,1.4,-0.05,1.0,0.0,0.99684,0.0020819221887476984,105.9,0.0
BA,4,1.5,-0.05,1.0,0.0,0.9963199999999999,0.0023785709995709633,105.2,0.0
BA,4,1.6,-0.05,1.0,0.0,0.9964400000000001,0.0022729716232280615,115.02,0.0
BA,4,1.7,-0.05,1.0,0.0,0.9967200000000002,0.00235830447567739,122.2,0.0
BA,4,1.8,-0.05,0.9782,0.14030951500165625,0.9572800000000001,0.19500185024763225,435.4,0.02
BA,4,1.9,-0.05,0.9745199999999999,0.14440321880069018,0.9571999999999999,0.19498758934865573,439.06,0.02
BA,4,2.0,-0.05,0.95072,0.20463968725542953,0.9374799999999999,0.23618359299494115,453.74,0.02
BA,4,1.1,0.0,1.0,0.0,0.9967999999999999,0.0016000000000000014,99.96,0.0
BA,4,1.2,0.0,1.0,0.0,0.9968,0.001833030277982338,108.14,0.0
BA,4,1.3,0.0,1.0,0.0,0.9966400000000002,0.0020567936211491923,111.18,0.0
BA,4,1.4,0.0,1.0,0.0,0.9964800000000001,0.002022275945562328,112.2,0.0
BA,4,1.5,0.0,1.0,0.0,0.9963600000000001,0.0020664946164943203,118.02,0.0
BA,4,1.6,0.0,1.0,0.0,0.9967600000000002,0.001871470010446335,128.0,0.0
BA,4,1.7,0.0,0.98,0.13999999999999999,0.9568000000000002,0.19490510511528425,158.6,0.0
BA,4,1.8,0.0,0.9782,0.14030951500165625,0.95684,0.1949141718808563,442.78,0.02
BA,4,1.9,0.0,0.95384,0.19941548184632005,0.93672,0.23599076592104193,464.02,0.02
BA,4,2.0,0.0,0.95336,0.20007296269111427,0.9372,0.2359474517768734,491.44,0.02
BA,4,1.1,0.05,1.0,0.0,0.9964799999999999,0.0018998947339260686,109.7,0.0
BA,4,1.2,0.05,1.0,0.0,0.99688,0.0014510685717773657,115.04,0.0
BA,4,1.3,0.05,1.0,0.0,0.99664,0.0015717506163510815,116.34,0.0
BA,4,1.4,0.05,1.0,0.0,0.9964,0.0020784609690826547,123.06,0.0
BA,4,1.5,0.05,1.0,0.0,0.9966400000000002,0.0018521339044464378,137.26,0.0
BA,4,1.6,0.05,0.98,0.13999999999999999,0.9768800000000002,0.1389918904109157,143.26,0.0
BA,4,1.7,0.05,0.98,0.13999999999999999,0.9569199999999999,0.19492940670919817,185.16,0.0
BA,4,1.8,0.05,0.96,0.19595917942265428,0.9570799999999999,0.19455557971952384,164.76,0.0
BA,4,1.9,0.05,0.9745199999999999,0.14440321880069018,0.9567999999999999,0.19430079773382303,502.3,0.02
BA,4,2.0,0.05,0.9,0.3,0.8979999999999998,0.2964062077622532,224.6,0.0
BA,4,1.1,0.1,1.0,0.0,0.9964,0.0019183326093250893,118.66,0.0
BA,4,1.2,0.1,1.0,0.0,0.9965199999999999,0.002032141727340888,123.2,0.0
BA,4,1.3,0.1,1.0,0.0,0.9964400000000001,0.002164809460437571,124.04,0.0
