Topo,Z,b,Mode,step,rho_t
BA,4,1.0,amnesic,0,0.9976
BA,4,1.0,amnesic,100,0.9995199999999999
BA,4,1.0,amnesic,200,0.9995199999999999
BA,4,1.0,amnesic,300,0.9995199999999999
BA,4,1.0,amnesic,400,0.9995199999999999
BA,4,1.0,amnesic,500,0.9995199999999999
BA,4,1.0,amnesic,600,0.9995199999999999
BA,4,1.0,amnesic,700,0.9995199999999999
BA,4,1.0,amnesic,800,0.9995199999999999
BA,4,1.0,amnesic,900,0.9995199999999999
BA,4,1.0,amnesic,1000,0.9995199999999999
BA,4,1.0,amnesic,1100,0.9995199999999999
BA,4,1.0,amnesic,1200,0.9995199999999999
BA,4,1.0,amnesic,1300,0.9995199999999999
BA,4,1.0,amnesic,1400,0.9995199999999999
BA,4,1.0,amnesic,1500,0.9995199999999999
BA,4,1.0,amnesic,1600,0.9995199999999999
BA,4,1.0,amnesic,1700,0.9995199999999999
BA,4,1.0,amnesic,1800,0.9995199999999999
BA,4,1.0,amnesic,1900,0.9995199999999999
BA,4,1.0,amnesic,2000,0.9995199999999999
BA,4,1.0,amnesic,2100,0.9995199999999999
BA,4,1.0,amnesic,2200,0.9995199999999999
BA,4,1.0,amnesic,2300,0.9995199999999999
BA,4,1.0,amnesic,2400,0.9995199999999999
BA,4,1.0,amnesic,2500,0.9995199999999999
BA,4,1.0,amnesic,2600,0.9995199999999999
BA,4,1.0,amnesic,2700,0.9995199999999999
BA,4,1.0,amnesic,2800,0.9995199999999999
BA,4,1.0,amnesic,2900,0.9995199999999999
BA,4,1.0,amnesic,3000,0.9995199999999999
BA,4,1.0,amnesic,3100,0.9995199999999999
BA,4,1.0,amnesic,3200,0.9995199999999999
BA,4,1.0,amnesic,3300,0.9995199999999999
BA,4,1.0,amnesic,3400,0.9995199999999999
BA,4,1.0,amnesic,3500,0.9995199999999999
BA,4,1.0,amnesic,3600,0.9995199999999999
BA,4,1.0,amnesic,3700,0.9995199999999999
BA,4,1.0,amnesic,3800,0.9995199999999999
BA,4,1.0,amnesic,3900,0.9995199999999999
BA,4,1.0,amnesic,4000,0.9995199999999999
BA,4,1.0,amnesic,4100,0.9995199999999999
BA,4,1.0,amnesic,4200,0.9995199999999999
BA,4,1.0,amnesic,4300,0.9995199999999999
BA,4,1.0,amnesic,4400,0.9995199999999999
BA,4,1.0,amnesic,4500,0.9995199999999999
BA,4,1.0,amnesic,4600,0.9995199999999999
BA,4,1.0,amnesic,4700,0.9995199999999999
BA,4,1.0,amnesic,4800,0.9995199999999999
BA,4,1.0,amnesic,4900,0.9995199999999999
BA,4,1.0,amnesic,5000,0.9995199999999999
BA,4,1.0,amnesic,5100,0.9995199999999999
BA,4,1.0,amnesic,5200,0.9995199999999999
BA,4,1.0,amnesic,5300,0.9995199999999999
BA,4,1.0,amnesic,5400,0.9995199999999999
BA,4,1.0,amnesic,5500,0.9995199999999999
BA,4,1.0,amnesic,5600,0.9995199999999999
BA,4,1.0,amnesic,5700,0.9995199999999999
BA,4,1.0,amnesic,5800,0.9995199999999999
BA,4,1.0,amnesic,5900,0.9995199999999999
BA,4,1.0,amnesic,6000,0.9995199999999999
BA,4,1.0,amnesic,6100,0.9995199999999999
BA,4,1.0,amnesic,6200,0.9995199999999999
BA,4,1.0,amnesic,6300,0.9995199999999999
BA,4,1.0,amnesic,6400,0.9995199999999999
BA,4,1.0,amnesic,6500,0.9995199999999999
BA,4,1.0,amnesic,6600,0.9995199999999999
BA,4,1.0,amnesic,6700,0.9995199999999999
BA,4,1.0,amnesic,6800,0.9995199999999999
BA,4,1.0,amnesic,6900,0.9995199999999999
BA,4,1.0,amnesic,7000,0.9995199999999999
BA,4,1.0,amnesic,7100,0.9995199999999999
BA,4,1.0,amnesic,7200,0.9995199999999999
BA,4,1.0,amnesic,7300,0.9995199999999999
BA,4,1.0,amnesic,7400,0.9995199999999999
BA,4,1.0,amnesic,7500,0.9995199999999999
BA,4,1.0,amnesic,7600,0.9995199999999999
BA,4,1.0,amnesic,7700,0.9995199999999999
BA,4,1.0,amnesic,7800,0.9995199999999999
BA,4,1.0,amnesic,7900,0.9995199999999999
BA,4,1.0,amnesic,8000,0.9995199999999999
BA,4,1.0,amnesic,8100,0.9995199999999999
BA,4,1.0,amnesic,8200,0.9995199999999999
BA,4,1.0,amnesic,8300,0.9995199999999999
BA,4,1.0,amnesic,8400,0.9995199999999999
BA,4,1.0,amnesic,8500,0.9995199999999999
BA,4,1.0,amnesic,8600,0.9995199999999999
BA,4,1.0,amnesic,8700,0.9995199999999999
BA,4,1.0,amnesic,8800,0.9995199999999999
BA,4,1.0,amnesic,8900,0.9995199999999999
BA,4,1.0,amnesic,9000,0.9995199999999999
BA,4,1.0,amnesic,9100,0.9995199999999999
BA,4,1.0,amnesic,9200,0.9995199999999999
BA,4,1.0,amnesic,9300,0.9995199999999999
BA,4,1.0,amnesic,9400,0.9995199999999999
BA,4,1.0,amnesic,9500,0.9995199999999999
BA,4,1.0,amnesic,9600,0.9995199999999999
BA,4,1.0,amnesic,9700,0.9995199999999999
BA,4,1.0,amnesic,9800,0.9995199999999999
BA,4,1.0,amnesic,9900,0.9995199999999999
BA,4,1.0,amnesic,10000,0.9995199999999999
BA,4,1.0,amnesic,10100,0.9995199999999999
BA,4,1.0,amnesic,10200,0.9995199999999999
BA,4,1.0,amnesic,10300,0.9995199999999999
BA,4,1.0,amnesic,10400,0.9995199999999999
BA,4,1.0,amnesic,10500,0.9995199999999999
BA,4,1.0,amnesic,10600,0.9995199999999999
BA,4,1.0,amnesic,10700,0.9995199999999999
BA,4,1.0,amnesic,10800,0.9995199999999999
BA,4,1.0,amnesic,10900,0.9995199999999999
BA,4,1.0,amnesic,11000,0.9995199999999999
BA,4,1.0,amnesic,11100,0.9995199999999999
BA,4,1.0,amnesic,11200,0.9995199999999999
BA,4,1.0,amnesic,11300,0.9995199999999999
BA,4,1.0,amnesic,11400,0.9995199999999999
BA,4,1.0,amnesic,11500,0.9995199999999999
BA,4,1.0,amnesic,11600,0.9995199999999999
BA,4,1.0,amnesic,11700,0.9995199999999999
BA,4,1.0,amnesic,11800,0.9995199999999999
BA,4,1.0,amnesic,11900,0.9995199999999999
BA,4,1.0,amnesic,12000,0.9995199999999999
BA,4,1.0,amnesic,12100,0.9995199999999999
BA,4,1.0,amnesic,12200,0.9995199999999999
BA,4,1.0,amnesic,12300,0.9995199999999999
BA,4,1.0,amnesic,12400,0.9995199999999999
BA,4,1.0,amnesic,12500,0.9995199999999999
BA,4,1.0,amnesic,12600,0.9995199999999999
BA,4,1.0,amnesic,12700,0.9995199999999999
BA,4,1.0,amnesic,12800,0.9995199999999999
BA,4,1.0,amnesic,12900,0.9995199999999999
BA,4,1.0,amnesic,13000,0.9995199999999999
BA,4,1.0,amnesic,13100,0.9995199999999999
BA,4,1.0,amnesic,13200,0.9995199999999999
BA,4,1.0,amnesic,13300,0.9995199999999999
BA,4,1.0,amnesic,13400,0.9995199999999999
BA,4,1.0,amnesic,13500,0.9995199999999999
BA,4,1.0,amnesic,13600,0.9995199999999999
BA,4,1.0,amnesic,13700,0.9995199999999999
BA,4,1.0,amnesic,13800,0.9995199999999999
BA,4,1.0,amnesic,13900,0.9995199999999999
BA,4,1.0,amnesic,14000,0.9995199999999999
BA,4,1.0,amnesic,14100,0.9995199999999999
BA,4,1.0,amnesic,14200,0.9995199999999999
BA,4,1.0,amnesic,14300,0.9995199999999999
BA,4,1.0,amnesic,14400,0.9995199999999999
BA,4,1.0,amnesic,14500,0.9995199999999999
BA,4,1.0,amnesic,14600,0.9995199999999999
BA,4,1.0,amnesic,14700,0.9995199999999999
