Topo,b,Mode,rho_global,rho_hubs
BA,1.6,amnesic,0.998,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,0.0,0.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,0.998,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,0.986,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,0.994,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,0.996,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.6,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.98,1.0
BA,1.7,amnesic,0.936,1.0
BA,1.7,amnesic,0.992,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.986,1.0
BA,1.7,amnesic,0.96,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.944,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.982,1.0
BA,1.7,amnesic,0.984,1.0
BA,1.7,amnesic,0.968,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.956,1.0
BA,1.7,amnesic,0.966,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.958,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.986,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.956,1.0
BA,1.7,amnesic,0.97,1.0
BA,1.7,amnesic,0.966,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.974,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.996,1.0
BA,1.7,amnesic,0.944,1.0
BA,1.7,amnesic,0.96,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.958,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.94,1.0
BA,1.7,amnesic,0.97,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.97,1.0
BA,1.7,amnesic,0.952,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.908,1.0
BA,1.7,amnesic,0.994,1.0
BA,1.7,amnesic,0.952,1.0
BA,1.7,amnesic,0.966,1.0
BA,1.7,amnesic,0.994,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.982,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.978,1.0
BA,1.7,amnesic,0.962,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.958,1.0
BA,1.7,amnesic,0.966,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.98,1.0
BA,1.7,amnesic,0.948,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.954,1.0
BA,1.7,amnesic,0.994,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.978,1.0
BA,1.7,amnesic,0.972,1.0
BA,1.7,amnesic,0.986,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.964,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.954,1.0
BA,1.7,amnesic,0.968,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.966,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.98,1.0
BA,1.7,amnesic,0.98,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.958,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.7,amnesic,0.942,1.0
BA,1.7,amnesic,0.956,1.0
BA,1.7,amnesic,0.946,1.0
BA,1.7,amnesic,0.946,1.0
BA,1.7,amnesic,1.0,1.0
BA,1.8,amnesic,0.934,1.0
BA,1.8,amnesic,0.932,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.8,amnesic,0.944,1.0
BA,1.8,amnesic,0.944,1.0
BA,1.8,amnesic,0.914,1.0
BA,1.8,amnesic,0.964,1.0
BA,1.8,amnesic,0.958,1.0
BA,1.8,amnesic,0.932,1.0
BA,1.8,amnesic,0.9,1.0
BA,1.8,amnesic,0.934,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.8,amnesic,0.0,0.0
BA,1.8,amnesic,0.926,1.0
BA,1.8,amnesic,0.912,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.8,amnesic,0.938,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.8,amnesic,0.922,1.0
BA,1.8,amnesic,0.95,1.0
BA,1.8,amnesic,0.956,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.908,1.0
BA,1.8,amnesic,0.928,1.0
BA,1.8,amnesic,0.942,1.0
BA,1.8,amnesic,0.942,1.0
BA,1.8,amnesic,1.0,1.0
BA,1.8,amnesic,0.914,1.0
BA,1.8,amnesic,0.944,1.0
BA,1.8,amnesic,0.954,1.0
BA,1.8,amnesic,0.954,1.0
BA,1.8,amnesic,0.95,1.0
BA,1.8,amnesic,0.938,1.0
BA,1.8,amnesic,0.936,1.0
BA,1.8,amnesic,0.932,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.932,1.0
BA,1.8,amnesic,0.966,1.0
BA,1.8,amnesic,0.934,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.8,amnesic,0.942,1.0
BA,1.8,amnesic,1.0,1.0
BA,1.8,amnesic,0.928,1.0
BA,1.8,amnesic,0.964,1.0
BA,1.8,amnesic,0.944,1.0
BA,1.8,amnesic,0.96,1.0
BA,1.8,amnesic,0.926,1.0
BA,1.8,amnesic,0.954,1.0
BA,1.8,amnesic,0.914,1.0
BA,1.8,amnesic,0.942,1.0
BA,1.8,amnesic,0.932,1.0
BA,1.8,amnesic,0.958,1.0
BA,1.8,amnesic,0.91,1.0
BA,1.8,amnesic,0.962,1.0
BA,1.8,amnesic,0.912,1.0
BA,1.8,amnesic,0.954,1.0
BA,1.8,amnesic,0.912,1.0
BA,1.8,amnesic,0.936,1.0
BA,1.8,amnesic,0.936,1.0
BA,1.8,amnesic,0.952,1.0
BA,1.8,amnesic,0.938,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.8,amnesic,1.0,1.0
BA,1.8,amnesic,0.946,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.914,1.0
BA,1.8,amnesic,0.944,1.0
BA,1.8,amnesic,0.976,1.0
BA,1.8,amnesic,0.934,1.0
BA,1.8,amnesic,0.924,1.0
BA,1.8,amnesic,0.946,1.0
BA,1.8,amnesic,0.954,1.0
BA,1.8,amnesic,0.894,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.956,1.0
BA,1.8,amnesic,0.96,1.0
BA,1.8,amnesic,0.956,1.0
BA,1.8,amnesic,0.912,1.0
BA,1.8,amnesic,0.902,1.0
BA,1.8,amnesic,0.93,1.0
BA,1.8,amnesic,0.982,1.0
BA,1.8,amnesic,0.93,1.0
BA,1.8,amnesic,0.928,1.0
BA,1.8,amnesic,0.92,1.0
BA,1.8,amnesic,0.914,1.0
BA,1.8,amnesic,0.016,0.0
BA,1.8,amnesic,0.934,1.0
BA,1.8,amnesic,0.914,1.0
BA,1.8,amnesic,0.93,1.0
BA,1.8,amnesic,0.948,1.0
BA,1.8,amnesic,0.984,1.0
BA,1.8,amnesic,0.95,1.0
BA,1.8,amnesic,0.938,1.0
BA,1.8,amnesic,0.898,1.0
BA,1.8,amnesic,0.922,1.0
BA,1.8,amnesic,0.96,1.0
BA,1.8,amnesic,0.954,1.0
BA,1.8,amnesic,0.94,1.0
BA,1.9,amnesic,0.898,1.0
BA,1.9,amnesic,0.91,1.0
BA,1.9,amnesic,0.934,1.0
BA,1.9,amnesic,0.842,1.0
BA,1.9,amnesic,0.886,1.0
BA,1.9,amnesic,0.918,1.0
