Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,4,max,0.6,4,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.0,0.0
BA,4,max,0.6,4,1.1,proportional,,amnesic,0.0,0.9999789333333333,0.00020961068675050888,0.0,0.0
BA,4,max,0.6,4,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,4,1.3,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,4,1.4,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,4,1.5,proportional,,amnesic,0.0,0.9971731999999999,0.003291905895779148,0.0,0.0
BA,4,max,0.6,4,1.6,proportional,,amnesic,0.0,0.9984046666666667,0.004192595854598895,0.0,0.0
BA,4,max,0.6,4,1.7,proportional,,amnesic,0.0,0.9520738666666668,0.13595540839450102,0.0,0.0
BA,4,max,0.6,4,1.8,proportional,,amnesic,0.0,0.9309006666666667,0.09504347270825309,0.0,0.0
BA,4,max,0.6,4,1.9,proportional,,amnesic,0.0,0.8747264,0.12625771251925783,0.0,0.0
BA,4,max,0.6,4,2.0,proportional,,amnesic,0.0,0.7098671333333334,0.15023115997911723,0.0,0.0
BA,4,max,0.6,4,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.05970000000000002,0.03957006444270719
BA,4,max,0.6,4,1.1,proportional,,memory,0.0,1.0,0.0,0.0484,0.034434866051721476
BA,4,max,0.6,4,1.2,proportional,,memory,0.0,1.0,0.0,0.04346,0.03367830755842698
BA,4,max,0.6,4,1.3,proportional,,memory,0.0,1.0,0.0,0.03802,0.029931247885779836
BA,4,max,0.6,4,1.4,proportional,,memory,0.0,1.0,0.0,0.032659999999999995,0.026678913021335786
BA,4,max,0.6,4,1.5,proportional,,memory,0.0,0.9994390666666666,0.0013509180483409946,0.029580000000000002,0.025542584050953027
BA,4,max,0.6,4,1.6,proportional,,memory,0.0,0.9994299333333333,0.0023548215303924075,0.0242,0.022495332849282318
BA,4,max,0.6,4,1.7,proportional,,memory,0.0,0.9786104000000002,0.017146733885819467,0.018800000000000004,0.017810109488714546
BA,4,max,0.6,4,1.8,proportional,,memory,0.0,0.9346612000000003,0.09526236381409445,0.015160000000000002,0.01478426190244207
BA,4,max,0.6,4,1.9,proportional,,memory,0.0,0.8864070666666667,0.12815359045152727,0.01312,0.012656444998497801
BA,4,max,0.6,4,2.0,proportional,,memory,0.0,0.7521694000000001,0.13982932240920637,0.01008,0.010217318630638864
ER,16,max,0.6,4,1.0,proportional,,amnesic,0.0,0.9997155999999999,0.001624102684219461,0.0,0.0
ER,16,max,0.6,4,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
ER,16,max,0.6,4,1.2,proportional,,amnesic,0.0,0.26545606666666666,0.029716066228295496,0.0,0.0
ER,16,max,0.6,4,1.3,proportional,,amnesic,0.0,0.14637146666666667,0.023549673799675243,0.0,0.0
ER,16,max,0.6,4,1.4,proportional,,amnesic,0.0,0.07617046666666667,0.033362603019348874,0.0,0.0
ER,16,max,0.6,4,1.5,proportional,,amnesic,0.0,0.004569866666666668,0.01623668675780595,0.0,0.0
ER,16,max,0.6,4,1.6,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
ER,16,max,0.6,4,1.7,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
ER,16,max,0.6,4,1.8,proportional,,amnesic,0.0,6.133333333333335e-05,0.0006102589614253937,0.0,0.0
ER,16,max,0.6,4,1.9,proportional,,amnesic,0.0,6.153333333333336e-05,0.0006122489362996072,0.0,0.0
ER,16,max,0.6,4,2.0,proportional,,amnesic,0.0,0.00032000000000000013,0.0014062716664997564,0.0,0.0
ER,16,max,0.6,4,1.0,proportional,,memory,0.0,0.9997155999999999,0.001624102684219461,0.032539999999999986,0.011936012734577657
ER,16,max,0.6,4,1.1,proportional,,memory,0.0,0.9996919333333334,0.0030652246312463933,0.006380000000000001,0.004056550258532489
ER,16,max,0.6,4,1.2,proportional,,memory,0.0,0.26853933333333335,0.032937499635251936,0.0,0.0
ER,16,max,0.6,4,1.3,proportional,,memory,0.0,0.14418113333333332,0.023908619237142624,0.0,0.0
ER,16,max,0.6,4,1.4,proportional,,memory,0.0,0.06303686666666669,0.04012358696112135,0.0,0.0
ER,16,max,0.6,4,1.5,proportional,,memory,0.0,0.006299933333333334,0.017237815445377322,0.0001,0.00043588989435406744
ER,16,max,0.6,4,1.6,proportional,,memory,0.0,0.0,0.0,0.00026000000000000003,0.0006726068688320094
ER,16,max,0.6,4,1.7,proportional,,memory,0.0,0.0,0.0,0.0006000000000000001,0.0009165151389911681
ER,16,max,0.6,4,1.8,proportional,,memory,0.0,0.0,0.0,0.0008200000000000002,0.000983666610188635
ER,16,max,0.6,4,1.9,proportional,,memory,0.0,6.34666666666667e-05,0.0006314853600836684,0.00064,0.0009748846085563154
ER,16,max,0.6,4,2.0,proportional,,memory,0.0,0.0001811333333333334,0.0010300093009288805,0.00072,0.0009599999999999999
