Topo,Z,b,Update,K,C_mean,Tstop_mean,Tstop_std,Stop_absorb_frac,Stop_std_frac,Stop_max_frac
BA,4,1.0,proportional,,0.9926884666666668,1224.93,122.58607221050846,0.0,1.0,0.0
BA,4,1.0,fermi,0.05,1.0,91.12,57.71295868347074,1.0,0.0,0.0
BA,4,1.0,fermi,0.1,1.0,91.12,57.71295868347074,1.0,0.0,0.0
BA,4,1.0,fermi,0.2,1.0,90.18,56.776118218842676,1.0,0.0,0.0
BA,4,1.0,fermi,0.5,1.0,91.19,57.21725176902505,1.0,0.0,0.0
BA,4,1.1,proportional,,0.9999774666666668,576.36,329.8527101601562,0.99,0.01,0.0
BA,4,1.1,fermi,0.05,1.0,115.22,69.022399262848,1.0,0.0,0.0
BA,4,1.1,fermi,0.1,1.0,108.18,62.68052009994812,1.0,0.0,0.0
BA,4,1.1,fermi,0.2,1.0,102.1,58.45724933658784,1.0,0.0,0.0
BA,4,1.1,fermi,0.5,1.0,99.29,56.019156544882044,1.0,0.0,0.0
BA,4,1.2000000000000002,proportional,,1.0,605.26,430.4462712116345,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.05,1.0,121.53,66.64719874083231,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.1,1.0,119.56,66.30495004145618,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.2,1.0,116.01,63.55855489231957,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.5,1.0,115.45,57.19062423159936,1.0,0.0,0.0
BA,4,1.3000000000000003,proportional,,1.0,765.44,467.0783086378557,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.05,1.0,137.1,69.90543612624128,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.1,1.0,140.36,65.88027322347715,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.2,1.0,141.91,69.47015114421444,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.5,1.0,134.59,63.675284844278465,1.0,0.0,0.0
BA,4,1.4000000000000004,proportional,,0.9999760666666667,1133.12,533.9070008906045,0.99,0.01,0.0
BA,4,1.4000000000000004,fermi,0.05,1.0,175.88,89.68392052090496,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.1,1.0,176.73,77.15385343584595,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.2,0.99,187.12,79.77321354941144,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.5,0.99,172.29,72.76005703681106,1.0,0.0,0.0
BA,4,1.5000000000000004,proportional,,0.9974096666666666,4701.84,2976.1031995547464,0.32,0.61,0.07
BA,4,1.5000000000000004,fermi,0.05,0.9901399999999999,388.64,1173.6532837256495,0.99,0.0,0.01
BA,4,1.5000000000000004,fermi,0.1,0.99,282.12,131.4822634426408,1.0,0.0,0.0
BA,4,1.5000000000000004,fermi,0.2,0.98,266.64,112.49511278273381,1.0,0.0,0.0
BA,4,1.5000000000000004,fermi,0.5,0.99,252.63,109.43305305071223,1.0,0.0,0.0
BA,4,1.6000000000000005,proportional,,0.9888000000000001,6016.45,3104.494852226365,0.91,0.0,0.09
BA,4,1.6000000000000005,fermi,0.05,0.98,824.18,1072.8170522507553,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.1,0.98,597.65,392.6932486050658,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.2,0.98,486.94,238.7158486569335,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.5,0.99,482.07,278.7173928910788,1.0,0.0,0.0
BA,4,1.7000000000000006,proportional,,0.9788,10820.87,2459.501984772527,0.27,0.0,0.73
BA,4,1.7000000000000006,fermi,0.05,0.9596600000000001,6425.98,3975.9779903314347,0.79,0.0,0.21
BA,4,1.7000000000000006,fermi,0.1,0.965,4349.39,3254.470641732692,0.95,0.0,0.05
BA,4,1.7000000000000006,fermi,0.2,0.98,2322.28,1858.2383866447276,1.0,0.0,0.0
BA,4,1.7000000000000006,fermi,0.5,0.99,1447.41,1032.3265771547296,1.0,0.0,0.0
BA,4,1.8000000000000007,proportional,,0.91872,11876.87,1157.1567106922041,0.02,0.0,0.98
BA,4,1.8000000000000007,fermi,0.05,0.8535200000000001,11019.39,2578.0429472566975,0.15,0.0,0.85
BA,4,1.8000000000000007,fermi,0.1,0.8477800000000001,10628.69,3118.1260708797518,0.21,0.0,0.79
BA,4,1.8000000000000007,fermi,0.2,0.8342200000000001,10996.41,2939.9641667714254,0.14,0.0,0.86
BA,4,1.8000000000000007,fermi,0.5,0.76378,11466.86,2107.847043881505,0.07,0.0,0.93
BA,4,1.9000000000000008,proportional,,0.8835400000000001,11881.37,1180.3535966395837,0.01,0.0,0.99
BA,4,1.9000000000000008,fermi,0.05,0.7859799999999999,11596.77,1922.3140006512986,0.05,0.0,0.95
BA,4,1.9000000000000008,fermi,0.1,0.7183799999999999,11760.85,1674.0535856118827,0.02,0.0,0.98
BA,4,1.9000000000000008,fermi,0.2,0.6734,11760.79,1674.4745163483378,0.02,0.0,0.98
BA,4,1.9000000000000008,fermi,0.5,0.60628,11641.03,2041.193922463028,0.03,0.0,0.97
BA,4,2.000000000000001,proportional,,0.6997015333333332,11318.4,2700.4545061896524,0.04,0.02,0.94
BA,4,2.000000000000001,fermi,0.05,0.54708,11640.98,2041.4786160036062,0.03,0.0,0.97
BA,4,2.000000000000001,fermi,0.1,0.54694,11640.98,2041.4786160036062,0.03,0.0,0.97
BA,4,2.000000000000001,fermi,0.2,0.5363399999999999,11641.0,2041.3646758969844,0.03,0.0,0.97
BA,4,2.000000000000001,fermi,0.5,0.52476,11521.23,2345.4883024862866,0.04,0.0,0.96
