Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,16,max,0.6,4,1.0,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,4,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,4,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,4,1.3,proportional,,amnesic,0.0,0.9218685333333333,0.2061850278756222,0.0,0.0
BA,16,max,0.6,4,1.4,proportional,,amnesic,0.0,0.7637914666666668,0.35840567974056065,0.0,0.0
BA,16,max,0.6,4,1.5,proportional,,amnesic,0.0,0.2816302,0.341932674076774,0.0,0.0
BA,16,max,0.6,4,1.6,proportional,,amnesic,0.0,0.004920266666666667,0.019899205610498346,0.0,0.0
BA,16,max,0.6,4,1.7,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.6,4,1.8,proportional,,amnesic,0.0,6.640000000000004e-05,0.0003784799069963954,0.0,0.0
BA,16,max,0.6,4,1.9,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.6,4,2.0,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.6,4,1.0,proportional,,memory,0.0,1.0,0.0,0.01004,0.011429715657005646
BA,16,max,0.6,4,1.1,proportional,,memory,0.0,1.0,0.0,0.004820000000000001,0.005231405164962851
BA,16,max,0.6,4,1.2,proportional,,memory,0.0,0.988536,0.07008341617117579,0.00248,0.0033480740732546527
BA,16,max,0.6,4,1.3,proportional,,memory,0.0,0.9508384666666667,0.17193212524289278,0.0017000000000000003,0.002372762103540934
BA,16,max,0.6,4,1.4,proportional,,memory,0.0,0.7056163999999998,0.3701661450963397,0.0010800000000000002,0.0023051247254758252
BA,16,max,0.6,4,1.5,proportional,,memory,0.0,0.22909839999999998,0.31488167796825944,0.00018,0.0006982836100038437
BA,16,max,0.6,4,1.6,proportional,,memory,0.0,0.02050206666666667,0.13449499826699876,0.00021999999999999998,0.0006867313885355758
BA,16,max,0.6,4,1.7,proportional,,memory,0.0,0.00014080000000000006,0.0006430450338472072,0.00048,0.000854166260162505
BA,16,max,0.6,4,1.8,proportional,,memory,0.0,2.0000000000000012e-05,0.0001989974874213241,0.0007400000000000001,0.0009656086163658647
BA,16,max,0.6,4,1.9,proportional,,memory,0.0,0.0,0.0,0.001,0.001
BA,16,max,0.6,4,2.0,proportional,,memory,0.0,0.0,0.0,0.0012000000000000001,0.0009797958971132714
