Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,4,max,0.4,1,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.014360000000000001,0.020806498984692258
BA,4,max,0.4,1,1.1,proportional,,amnesic,0.0,0.9999776666666667,0.0002222138609538646,0.009720000000000001,0.01593240722552622
BA,4,max,0.4,1,1.2,proportional,,amnesic,0.0,0.9999779333333333,0.0002195605611215739,0.008,0.014257629536497294
BA,4,max,0.4,1,1.3,proportional,,amnesic,0.0,1.0,0.0,0.00666,0.013699795618913444
BA,4,max,0.4,1,1.4,proportional,,amnesic,0.0,1.0,0.0,0.00512,0.01182647876588801
BA,4,max,0.4,1,1.5,proportional,,amnesic,0.0,0.9972629333333332,0.003260172090890543,0.0022,0.006690291473471092
BA,4,max,0.4,1,1.6,proportional,,amnesic,0.0,0.9889338666666667,0.09943681475492085,0.0015,0.0050388490749376505
BA,4,max,0.4,1,1.7,proportional,,amnesic,0.0,0.9554690666666669,0.1366014934082022,0.00042,0.002140934375453858
BA,4,max,0.4,1,1.8,proportional,,amnesic,0.0,0.9138713333333335,0.1596491432040203,0.00016,0.001007174264961134
BA,4,max,0.4,1,1.9,proportional,,amnesic,0.0,0.8580440000000001,0.1750417854799248,4e-05,0.00028000000000000003
BA,4,max,0.4,1,2.0,proportional,,amnesic,0.0,0.6956149333333334,0.17938322835543402,0.00012,0.0007386474125047755
BA,4,max,0.4,1,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.5143599999999999,0.38659326222788726
BA,4,max,0.4,1,1.1,proportional,,memory,0.0,0.9971400000000002,0.004042326063048058,0.4797199999999999,0.388177487240051
BA,4,max,0.4,1,1.2,proportional,,memory,0.0,0.9974197333333333,0.003962738662423314,0.4436,0.38881563754561105
BA,4,max,0.4,1,1.3,proportional,,memory,0.0,0.9976194666666669,0.003706106154262722,0.4106000000000001,0.3836972243840187
BA,4,max,0.4,1,1.4,proportional,,memory,0.0,0.9979999333333335,0.003510099776359285,0.37117999999999995,0.37079580310461985
BA,4,max,0.4,1,1.5,proportional,,memory,0.0,0.996974,0.003440858613776287,0.33344,0.3461116675294262
BA,4,max,0.4,1,1.6,proportional,,memory,0.0,0.987809,0.09772848900852242,0.31664000000000003,0.3428165550261539
BA,4,max,0.4,1,1.7,proportional,,memory,0.0,0.9706450000000001,0.09756986615127529,0.2716,0.32331309902322236
BA,4,max,0.4,1,1.8,proportional,,memory,0.0,0.9364785333333336,0.13368494511293672,0.25004000000000004,0.3135913238595736
BA,4,max,0.4,1,1.9,proportional,,memory,0.0,0.9080546000000002,0.09611699064367114,0.19355999999999995,0.26895391129336643
BA,4,max,0.4,1,2.0,proportional,,memory,0.0,0.7712404000000003,0.17699791887996882,0.17334,0.2615493918937683
BA,4,max,0.4,2,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.0,0.0
BA,4,max,0.4,2,1.1,proportional,,amnesic,0.0,0.9999573333333334,0.0002987395744346297,0.0,0.0
