Topo,b,Cost_Pct,C_mean,C_std,V_mean
ER,1.0,0.0,1.0,0.0,0.0
ER,1.05,0.0,1.0,0.0,0.0
ER,1.1,0.0,1.0,0.0,0.0
ER,1.15,0.0,0.40308,0.06318127570728531,0.0
ER,1.2,0.0,0.27236,0.03521520126309092,0.0
ER,1.25,0.0,0.19155999999999998,0.03204069911846494,0.0
ER,1.3,0.0,0.14684,0.029024375962283838,0.0
ER,1.0,0.005,1.0,0.0,0.0
ER,1.05,0.005,1.0,0.0,0.0
ER,1.1,0.005,1.0,0.0,0.0
ER,1.15,0.005,0.41412000000000004,0.06540875782339854,0.0
ER,1.2,0.005,0.26668,0.03988505484514219,0.0
ER,1.25,0.005,0.19107999999999997,0.03595822020067178,0.0
ER,1.3,0.005,0.14688,0.028321468888459864,0.0
ER,1.0,0.01,1.0,0.0,0.0
ER,1.05,0.01,1.0,0.0,0.0
ER,1.1,0.01,1.0,0.0,0.0
ER,1.15,0.01,0.41412000000000004,0.06540875782339854,0.0
ER,1.2,0.01,0.26668,0.03988505484514219,0.0
ER,1.25,0.01,0.19147999999999998,0.03592171488111334,0.0
ER,1.3,0.01,0.14688,0.028321468888459864,0.0
ER,1.0,0.015,1.0,0.0,0.0
ER,1.05,0.015,1.0,0.0,0.0
ER,1.1,0.015,1.0,0.0,0.0
ER,1.15,0.015,0.41412000000000004,0.06540875782339854,0.0
ER,1.2,0.015,0.26668,0.03988505484514219,0.0
ER,1.25,0.015,0.19308,0.03332076829846515,0.0
ER,1.3,0.015,0.14688,0.028321468888459864,0.0
ER,1.0,0.02,1.0,0.0,0.0
ER,1.05,0.02,1.0,0.0,0.0
ER,1.1,0.02,1.0,0.0,0.0
ER,1.15,0.02,0.41412000000000004,0.06540875782339854,0.0
ER,1.2,0.02,0.2672,0.03985975413872996,0.0
ER,1.25,0.02,0.19304,0.03335443598683689,0.0
ER,1.3,0.02,0.1482,0.02751363298439521,0.0
ER,1.0,0.025,1.0,0.0,0.0
ER,1.05,0.025,1.0,0.0,0.0
ER,1.1,0.025,1.0,0.0,0.0
ER,1.15,0.025,0.4121600000000001,0.06334267439886004,0.0
ER,1.2,0.025,0.2672,0.03985975413872996,0.0
ER,1.25,0.025,0.19268000000000002,0.03326646359323455,0.0
ER,1.3,0.025,0.1482,0.02751363298439521,0.0
ER,1.0,0.03,1.0,0.0,0.0
ER,1.05,0.03,1.0,0.0,0.0
ER,1.1,0.03,1.0,0.0,0.0
ER,1.15,0.03,0.41052000000000005,0.06427666450586869,0.0
ER,1.2,0.03,0.2672,0.03985975413872996,0.0
ER,1.25,0.03,0.19268000000000002,0.03326646359323455,0.0
ER,1.3,0.03,0.1482,0.02751363298439521,0.0
ER,1.0,0.035,1.0,0.0,0.0
ER,1.05,0.035,1.0,0.0,0.0
ER,1.1,0.035,1.0,0.0,0.0
ER,1.15,0.035,0.41052000000000005,0.06427666450586869,0.0
ER,1.2,0.035,0.2672,0.03985975413872996,0.0
ER,1.25,0.035,0.19268000000000002,0.03326646359323455,0.0
ER,1.3,0.035,0.1482,0.02751363298439521,0.0
ER,1.0,0.04,1.0,0.0,0.0
ER,1.05,0.04,1.0,0.0,0.0
ER,1.1,0.04,1.0,0.0,0.0
ER,1.15,0.04,0.41052000000000005,0.06427666450586869,0.0
ER,1.2,0.04,0.2672,0.03985975413872996,0.0
