Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
BA,4,1.1,-0.1,1.0,0.0,0.21456000000000003,0.36939259115472245,102.88,0.0
BA,4,1.2,-0.1,1.0,0.0,0.17416,0.33516177347663023,117.42,0.0
BA,4,1.3,-0.1,1.0,0.0,0.15355999999999997,0.3161240996823874,137.38,0.0
BA,4,1.4,-0.1,1.0,0.0,0.14628,0.3164412134978628,169.6,0.0
BA,4,1.5,-0.1,1.0,0.0,0.12832,0.29352733705738554,221.66,0.0
BA,4,1.6,-0.1,1.0,0.0,0.13588,0.31865603022695177,542.78,0.0
BA,4,1.7,-0.1,1.0,0.0,0.09792,0.2681644152381147,2951.88,0.0
BA,4,1.8,-0.1,0.88556,0.10830866262677238,0.05948,0.19969449066010808,11377.72,0.64
BA,4,1.9,-0.1,0.72832,0.1402514085490766,0.04512000000000001,0.19441241112645047,14105.74,0.94
BA,4,2.0,-0.1,0.5572400000000001,0.14361609380567344,0.024800000000000003,0.13920287353355892,14105.66,0.94
BA,4,1.1,-0.05,1.0,0.0,0.17708,0.33451103658922826,102.76,0.0
BA,4,1.2,-0.05,1.0,0.0,0.17,0.3365982768821017,116.0,0.0
BA,4,1.3,-0.05,1.0,0.0,0.14836,0.31600447844927765,139.92,0.0
BA,4,1.4,-0.05,1.0,0.0,0.13212000000000002,0.2932459472865737,173.22,0.0
BA,4,1.5,-0.05,1.0,0.0,0.11,0.26663923192208605,223.28,0.0
BA,4,1.6,-0.05,1.0,0.0,0.11800000000000001,0.29456680057331647,548.1,0.0
BA,4,1.7,-0.05,1.0,0.0,0.08048,0.23629458224851455,2745.66,0.0
BA,4,1.8,-0.05,0.86616,0.16377684329599226,0.04996,0.19606019075783845,11582.66,0.64
BA,4,1.9,-0.05,0.72832,0.1402514085490766,0.04496000000000001,0.19362654363490558,14106.46,0.94
BA,4,2.0,-0.05,0.5544,0.1399959999428555,0.024560000000000005,0.1392138154063741,14105.06,0.94
BA,4,1.1,0.0,1.0,0.0,0.17308,0.33559838140253295,105.44,0.0
BA,4,1.2,0.0,1.0,0.0,0.13776,0.29451645522788705,119.52,0.0
BA,4,1.3,0.0,1.0,0.0,0.14631999999999998,0.3163909884936674,134.46,0.0
BA,4,1.4,0.0,1.0,0.0,0.13027999999999998,0.2938432262278646,168.36,0.0
BA,4,1.5,0.0,1.0,0.0,0.10596,0.26685681254185734,236.48,0.0
BA,4,1.6,0.0,1.0,0.0,0.0852,0.23514761321348768,544.12,0.0
BA,4,1.7,0.0,0.96,0.19595917942265428,0.062200000000000005,0.19729460205489657,2820.82,0.0
BA,4,1.8,0.0,0.8669999999999999,0.1605740950464925,0.04992,0.1958954660016408,11425.32,0.66
BA,4,1.9,0.0,0.72464,0.1396323400935471,0.04456,0.19389565853829732,14106.14,0.94
BA,4,2.0,0.0,0.5521600000000001,0.13828309513458253,0.024000000000000004,0.13924424584161457,14104.28,0.94
BA,4,1.1,0.05,1.0,0.0,0.15208,0.3149671627328792,105.98,0.0
BA,4,1.2,0.05,1.0,0.0,0.13704,0.29476614188200106,122.44,0.0
BA,4,1.3,0.05,1.0,0.0,0.14400000000000002,0.3166027163496864,136.44,0.0
BA,4,1.4,0.05,1.0,0.0,0.11071999999999999,0.26663915991466824,173.38,0.0
BA,4,1.5,0.05,1.0,0.0,0.10516,0.26629399993240555,231.4,0.0
BA,4,1.6,0.05,0.96,0.19595917942265428,0.06631999999999999,0.19696146222040495,505.42,0.0
BA,4,1.7,0.05,0.96,0.19595917942265428,0.0562,0.19601520349197404,3199.4,0.0
BA,4,1.8,0.05,0.8636799999999998,0.15970290416895994,0.0454,0.19437623311505964,11804.92,0.68
BA,4,1.9,0.05,0.7015199999999999,0.16567464984118724,0.024520000000000004,0.13890475009876374,14104.8,0.94
BA,4,2.0,0.05,0.5380800000000001,0.15734851000247824,0.023720000000000005,0.13899928632910316,13807.52,0.92
BA,4,1.1,0.1,1.0,0.0,0.15103999999999998,0.3154687280856852,108.7,0.0
BA,4,1.2,0.1,1.0,0.0,0.13552,0.2947613434628089,122.32,0.0
BA,4,1.3,0.1,1.0,0.0,0.12608,0.2927557234282534,136.74,0.0
BA,4,1.4,0.1,1.0,0.0,0.09219999999999999,0.23487877724477363,170.22,0.0
BA,4,1.5,0.1,0.96,0.19595917942265428,0.06776,0.19607045264394124,235.26,0.0
BA,4,1.6,0.1,0.96,0.19595917942265428,0.06072,0.1952773453322223,520.92,0.0
BA,4,1.7,0.1,0.96,0.19595917942265428,0.05244000000000001,0.19455232303933045,3338.22,0.0
BA,4,1.8,0.1,0.8668399999999998,0.16048829988506952,0.045040000000000004,0.19425271787030418,11534.52,0.66
BA,4,1.9,0.1,0.7013999999999999,0.16456257168627378,0.024320000000000005,0.1392145739497126,14104.4,0.94
BA,4,2.0,0.1,0.51796,0.16047952642003901,0.00396,0.005677886930892513,13802.52,0.92
BA,4,1.1,0.2,1.0,0.0,0.13196,0.29189737648701125,111.46,0.0
BA,4,1.2,0.2,1.0,0.0,0.10987999999999999,0.26523873321971664,122.08,0.0
BA,4,1.3,0.2,1.0,0.0,0.08876,0.23393328621639123,142.7,0.0
BA,4,1.4,0.2,0.96,0.19595917942265428,0.06652,0.1948709562761983,177.46,0.0
BA,4,1.5,0.2,0.96,0.19595917942265428,0.05716,0.19428724713681028,235.78,0.0
BA,4,1.6,0.2,0.96,0.19595917942265428,0.05116,0.19389691694299835,531.7,0.0
BA,4,1.7,0.2,0.96,0.19595917942265428,0.0284,0.1391298673901474,3396.12,0.0
BA,4,1.8,0.2,0.8643999999999998,0.16086764746212956,0.025080000000000005,0.138932622518975,11853.48,0.68
BA,4,1.9,0.2,0.6868799999999999,0.18585463566992347,0.00412,0.005267409230352242,14105.84,0.94
BA,4,2.0,0.2,0.51212,0.15889136414544372,0.0034799999999999996,0.005303734533326493,13802.56,0.92
BA,4,1.1,0.5,1.0,0.0,0.019680000000000003,0.03396082448940249,115.66,0.0
BA,4,1.2,0.5,1.0,0.0,0.01544,0.028825100173286475,132.8,0.0
BA,4,1.3,0.5,0.98,0.13999999999999999,0.012720000000000002,0.024976020499671278,157.66,0.0
BA,4,1.4,0.5,0.96,0.19595917942265428,0.01072,0.020344080220054187,196.06,0.0
BA,4,1.5,0.5,0.96,0.19595917942265428,0.008360000000000001,0.015526441962020791,283.34,0.0
BA,4,1.6,0.5,0.96,0.19595917942265428,0.006120000000000001,0.011138473863146602,562.22,0.0
BA,4,1.7,0.5,0.96,0.19595917942265428,0.0044800000000000005,0.008499976470555668,3707.3,0.0
BA,4,1.8,0.5,0.8046399999999998,0.2205297041216897,0.0028000000000000004,0.005321653878260028,12953.88,0.78
BA,4,1.9,0.5,0.6516000000000001,0.22762952356845106,0.0022,0.004720169488482378,13507.6,0.9
BA,4,2.0,0.5,0.48095999999999994,0.1847048413009253,0.00132,0.002641514716975849,13204.44,0.88
BA,16,1.1,-0.1,1.0,0.0,0.00872,0.010459521977604904,132.66,0.0
BA,16,1.2,-0.1,0.98,0.13999999999999999,0.0044800000000000005,0.006853437093896755,280.04,0.0
BA,16,1.3,-0.1,0.68,0.466476151587624,0.002,0.0054552726787943425,691.82,0.0
BA,16,1.4,-0.1,0.16,0.36660605559646714,0.00068,0.0027600000000000003,652.76,0.0
BA,16,1.5,-0.1,0.0,0.0,4e-05,0.00028000000000000003,254.86,0.0
BA,16,1.6,-0.1,0.0,0.0,0.00012,0.0004749736834815166,150.9,0.0
BA,16,1.7,-0.1,0.0,0.0,0.0,0.0,102.06,0.0
BA,16,1.8,-0.1,0.0,0.0,0.00012,0.0004749736834815166,82.32,0.0
BA,16,1.9,-0.1,0.0,0.0,0.00024,0.0006499230723708769,58.14,0.0
BA,16,2.0,-0.1,0.0,0.0,0.0004,0.0007999999999999999,35.56,0.0
BA,16,1.1,-0.05,1.0,0.0,0.007040000000000001,0.009236795981291348,156.48,0.0
BA,16,1.2,-0.05,0.98,0.13999999999999999,0.003280000000000001,0.006102589614253935,306.0,0.0
BA,16,1.3,-0.05,0.62,0.4853864439804639,0.00092,0.003254781098630137,631.1,0.0
BA,16,1.4,-0.05,0.12,0.32496153618543844,8e-05,0.00039191835884530855,567.58,0.0
BA,16,1.5,-0.05,0.0,0.0,4e-05,0.00028,196.52,0.0
BA,16,1.6,-0.05,0.0,0.0,0.0,0.0,132.96,0.0
BA,16,1.7,-0.05,0.0,0.0,0.0,0.0,95.2,0.0
BA,16,1.8,-0.05,0.0,0.0,0.0002,0.0006,69.14,0.0
BA,16,1.9,-0.05,0.0,0.0,0.00028000000000000003,0.0006939740629158989,55.4,0.0
BA,16,2.0,-0.05,0.0,0.0,0.00048,0.000854166260162505,38.94,0.0
BA,16,1.1,0.0,1.0,0.0,0.006120000000000001,0.008712381993461948,146.56,0.0
BA,16,1.2,0.0,1.0,0.0,0.00208,0.005905387370867385,394.0,0.0
BA,16,1.3,0.0,0.56,0.4963869458396342,0.00028000000000000003,0.0014427751037497146,866.0,0.0
BA,16,1.4,0.0,0.06,0.23748684174075835,4e-05,0.00028000000000000003,623.42,0.0
BA,16,1.5,0.0,0.0,0.0,4e-05,0.00028000000000000003,326.3,0.0
BA,16,1.6,0.0,0.0,0.0,4e-05,0.00028,132.76,0.0
BA,16,1.7,0.0,0.0,0.0,0.00012,0.00047497368348151667,82.02,0.0
BA,16,1.8,0.0,0.0,0.0,0.0002,0.0006,64.14,0.0
BA,16,1.9,0.0,0.0,0.0,0.00048,0.000854166260162505,48.82,0.0
BA,16,2.0,0.0,0.0,0.0,0.00024,0.0006499230723708769,35.36,0.0
BA,16,1.1,0.05,1.0,0.0,0.00528,0.007846120060259084,188.16,0.0
BA,16,1.2,0.05,0.98,0.13999999999999999,0.00048,0.0013599999999999999,454.96,0.0
BA,16,1.3,0.05,0.58,0.4935585071701226,8e-05,0.00039191835884530855,759.38,0.0
BA,16,1.4,0.05,0.08,0.2712931993250107,0.0,0.0,601.4,0.0
BA,16,1.5,0.05,0.0,0.0,4e-05,0.00028000000000000003,201.16,0.0
BA,16,1.6,0.05,0.0,0.0,4e-05,0.00028,147.4,0.0
BA,16,1.7,0.05,0.0,0.0,0.0002,0.0006,76.5,0.0
BA,16,1.8,0.05,0.0,0.0,0.0002,0.0006,53.04,0.0
BA,16,1.9,0.05,0.0,0.0,0.00028000000000000003,0.0006939740629158989,46.6,0.0
BA,16,2.0,0.05,0.0,0.0,0.00024,0.0006499230723708769,30.16,0.0
BA,16,1.1,0.1,0.98,0.13999999999999999,0.00312,0.005757221552103063,202.48,0.0
BA,16,1.2,0.1,0.96,0.19595917942265428,0.00036,0.0012451505933018703,459.46,0.0
BA,16,1.3,0.1,0.72,0.44899888641287294,0.00012,0.0004749736834815166,860.36,0.0
BA,16,1.4,0.1,0.04,0.19595917942265428,0.0,0.0,553.12,0.0
BA,16,1.5,0.1,0.0,0.0,4e-05,0.00028,241.5,0.0
BA,16,1.6,0.1,0.0,0.0,4e-05,0.00028,117.1,0.0
BA,16,1.7,0.1,0.0,0.0,8e-05,0.00039191835884530855,64.5,0.0
BA,16,1.8,0.1,0.0,0.0,4e-05,0.00028,56.22,0.0
BA,16,1.9,0.1,0.0,0.0,0.00024,0.0006499230723708769,42.88,0.0
BA,16,2.0,0.1,0.0,0.0,0.00036,0.0007683749084919419,30.78,0.0
BA,16,1.1,0.2,1.0,0.0,0.00148,0.003853517873320429,237.18,0.0
BA,16,1.2,0.2,1.0,0.0,0.00016,0.0005425863986500215,387.56,0.0
BA,16,1.3,0.2,0.58,0.4935585071701226,0.0,0.0,829.18,0.0
BA,16,1.4,0.2,0.1,0.3,0.0,0.0,598.66,0.0
BA,16,1.5,0.2,0.0,0.0,0.0,0.0,210.06,0.0
BA,16,1.6,0.2,0.0,0.0,4e-05,0.00028,98.78,0.0
