Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
BA,16,1.1,-0.1,1.0,0.0,0.00872,0.010459521977604904,132.66,0.0
BA,16,1.15,-0.1,1.0,0.0,0.0058000000000000005,0.007247068372797376,217.24,0.0
BA,16,1.2,-0.1,0.98,0.13999999999999999,0.0044800000000000005,0.006853437093896755,280.04,0.0
BA,16,1.25,-0.1,0.96,0.19595917942265428,0.00264,0.005774980519447663,539.82,0.0
BA,16,1.3,-0.1,0.68,0.466476151587624,0.002,0.0054552726787943425,691.82,0.0
BA,16,1.35,-0.1,0.38,0.4853864439804639,0.0014000000000000002,0.0036715119501371635,646.34,0.0
BA,16,1.4,-0.1,0.16,0.36660605559646714,0.00068,0.0027600000000000003,652.76,0.0
BA,16,1.45,-0.1,0.0,0.0,4e-05,0.00028000000000000003,419.28,0.0
BA,16,1.1,-0.05,1.0,0.0,0.007040000000000001,0.009236795981291348,156.48,0.0
BA,16,1.15,-0.05,1.0,0.0,0.0044,0.006846897107449475,242.9,0.0
BA,16,1.2,-0.05,0.98,0.13999999999999999,0.003280000000000001,0.006102589614253935,306.0,0.0
BA,16,1.25,-0.05,0.92,0.2712931993250107,0.00192,0.004629643614793692,508.26,0.0
BA,16,1.3,-0.05,0.62,0.4853864439804639,0.00092,0.003254781098630137,631.1,0.0
BA,16,1.35,-0.05,0.32,0.46647615158762407,0.00048,0.0021747643550509097,868.2,0.0
BA,16,1.4,-0.05,0.12,0.32496153618543844,8e-05,0.00039191835884530855,567.58,0.0
BA,16,1.45,-0.05,0.0,0.0,0.0,0.0,418.04,0.0
BA,16,1.1,0.0,1.0,0.0,0.006120000000000001,0.008712381993461948,146.56,0.0
BA,16,1.15,0.0,1.0,0.0,0.00344,0.005769436714272893,265.14,0.0
BA,16,1.2,0.0,1.0,0.0,0.00208,0.005905387370867385,394.0,0.0
BA,16,1.25,0.0,0.96,0.19595917942265428,0.0011200000000000001,0.0031789306378088847,708.02,0.0
BA,16,1.3,0.0,0.56,0.4963869458396342,0.00028000000000000003,0.0014427751037497146,866.0,0.0
BA,16,1.35,0.0,0.26,0.4386342439892262,8e-05,0.00039191835884530855,780.38,0.0
BA,16,1.4,0.0,0.06,0.23748684174075835,4e-05,0.00028000000000000003,623.42,0.0
BA,16,1.45,0.0,0.0,0.0,4e-05,0.00028000000000000003,332.52,0.0
BA,16,1.1,0.05,1.0,0.0,0.00528,0.007846120060259084,188.16,0.0
BA,16,1.15,0.05,0.98,0.13999999999999999,0.0032400000000000003,0.00584999145298521,211.44,0.0
