Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
ER,16,1.1,-0.1,1.0,0.0,0.9962000000000001,0.0028354893757515675,65.18,0.0
ER,16,1.2,-0.1,0.74,0.4386342439892262,0.73764,0.43723708717353793,125.7,0.0
ER,16,1.3,-0.1,0.24,0.4270831300812525,0.23919999999999997,0.42566033406931403,115.88,0.0
ER,16,1.4,-0.1,0.0,0.0,0.00032,0.0007332121111929344,52.48,0.0
ER,16,1.5,-0.1,0.0,0.0,0.00096,0.001148216007552586,33.76,0.0
ER,16,1.6,-0.1,0.0,0.0,0.00132,0.0013629380029920657,21.34,0.0
ER,16,1.7,-0.1,0.0,0.0,0.00132,0.0014756693396557373,15.3,0.0
ER,16,1.8,-0.1,0.0,0.0,0.0014000000000000002,0.0011489125293076058,12.3,0.0
ER,16,1.9,-0.1,0.0,0.0,0.0020800000000000003,0.0014945233353815524,9.78,0.0
ER,16,2.0,-0.1,0.0,0.0,0.00236,0.001533101431738944,9.08,0.0
ER,16,1.1,-0.05,0.94,0.23748684174075838,0.9366,0.23647283142044034,277.02,0.0
ER,16,1.2,-0.05,0.36,0.48,0.35864000000000007,0.4781891575516953,244.14,0.0
ER,16,1.3,-0.05,0.0,0.0,0.00012,0.0004749736834815166,88.34,0.0
ER,16,1.4,-0.05,0.0,0.0,0.0006,0.0009165151389911681,37.14,0.0
ER,16,1.5,-0.05,0.0,0.0,0.0011200000000000001,0.0012106196760337245,24.24,0.0
ER,16,1.6,-0.05,0.0,0.0,0.0011200000000000001,0.001142628548566856,16.2,0.0
ER,16,1.7,-0.05,0.0,0.0,0.0014800000000000002,0.0012528367810692661,11.94,0.0
ER,16,1.8,-0.05,0.0,0.0,0.00188,0.0012905812643921343,10.28,0.0
ER,16,1.9,-0.05,0.0,0.0,0.00204,0.0013558761005342634,8.9,0.0
ER,16,2.0,-0.05,0.0,0.0,0.0023200000000000004,0.002092271492899523,7.68,0.0
ER,16,1.1,0.0,0.4,0.4898979485566356,0.39868000000000003,0.48828362413662824,2061.32,0.0
ER,16,1.2,0.0,0.0,0.0,4e-05,0.00028,244.32,0.0
ER,16,1.3,0.0,0.0,0.0,0.00016,0.0005425863986500215,66.46,0.0
ER,16,1.4,0.0,0.0,0.0,0.00064,0.0009329523031752481,35.74,0.0
ER,16,1.5,0.0,0.0,0.0,0.00128,0.0011142710621747296,20.74,0.0
ER,16,1.6,0.0,0.0,0.0,0.0012000000000000001,0.0012649110640673518,13.46,0.0
ER,16,1.7,0.0,0.0,0.0,0.0012000000000000001,0.0012649110640673518,10.72,0.0
ER,16,1.8,0.0,0.0,0.0,0.0016,0.001131370849898476,9.22,0.0
ER,16,1.9,0.0,0.0,0.0,0.0016,0.0014422205101855957,8.02,0.0
ER,16,2.0,0.0,0.0,0.0,0.0021600000000000005,0.0016414627622946556,7.22,0.0
ER,16,1.1,0.05,0.0,0.0,8e-05,0.00039191835884530855,3302.66,0.0
ER,16,1.2,0.05,0.0,0.0,0.00012,0.0004749736834815166,202.26,0.0
ER,16,1.3,0.05,0.0,0.0,0.0004,0.0008,45.72,0.0
ER,16,1.4,0.05,0.0,0.0,0.00092,0.0013977124167724917,25.6,0.0
ER,16,1.5,0.05,0.0,0.0,0.00128,0.0015879546593023366,13.28,0.0
ER,16,1.6,0.05,0.0,0.0,0.0011600000000000002,0.0013908270920570968,10.56,0.0
ER,16,1.7,0.05,0.0,0.0,0.00172,0.0014971973817770319,8.8,0.0
ER,16,1.8,0.05,0.0,0.0,0.0014000000000000002,0.0018000000000000002,7.62,0.0
ER,16,1.9,0.05,0.0,0.0,0.00196,0.0017658992043715293,7.36,0.0
ER,16,2.0,0.05,0.0,0.0,0.00232,0.0027816541841141937,6.06,0.0
ER,16,1.1,0.1,0.0,0.0,0.0,0.0,3562.36,0.0
ER,16,1.2,0.1,0.0,0.0,0.0,0.0,192.06,0.0
ER,16,1.3,0.1,0.0,0.0,0.00064,0.0010910545357588684,36.56,0.0
