Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,4,0.5,0.0,0.0,1.0,50,15000,1.0,0.0,0.0,0.9968,0.001743559577416271,0.0002465765601187593
BA,4,max,4,0.5,0.0,0.0,1.1,50,15000,1.0,0.0,0.0,0.9969599999999998,0.001611955334368792,0.00022796490958040027
BA,4,max,4,0.5,0.0,0.0,1.2,50,15000,1.0,0.0,0.0,0.9969999999999999,0.0017088007490635077,0.00024166091947189165
BA,4,max,4,0.5,0.0,0.0,1.3,50,15000,1.0,0.0,0.0,0.9968799999999999,0.0018400000000000018,0.0002602152954766497
BA,4,max,4,0.5,0.0,0.0,1.4,50,15000,1.0,0.0,0.0,0.9967599999999999,0.0016918628786045295,0.0002392655428598111
BA,4,max,4,0.5,0.0,0.0,1.5,50,15000,1.0,0.0,0.0,0.99704,0.0016608431593621372,0.00023487869209445138
BA,4,max,4,0.5,0.0,0.0,1.6,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97712,0.13902814679049705,0.01966154907427184
BA,4,max,4,0.5,0.0,0.0,1.7,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0019082976707002516,0.00026987404469492823
BA,4,max,4,0.5,0.0,0.0,1.8,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9574799999999999,0.19483564766233102,0.027553921535781435
BA,4,max,4,0.5,0.0,0.0,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97736,0.13905707605152642,0.019665640289601556
BA,4,max,4,0.5,0.0,0.0,2.0,50,15000,1.0,0.0,0.0,0.9967999999999999,0.0018330302779823377,0.00025922962793631463
BA,4,max,4,0.5,0.0,0.1,1.0,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0018225257199831245,0.0002577440590973924
BA,4,max,4,0.5,0.0,0.1,1.1,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0016857046004564397,0.00023839463081202163
BA,4,max,4,0.5,0.0,0.1,1.2,50,15000,1.0,0.0,0.0,0.9969199999999999,0.0015078461459976625,0.0002132416469641896
BA,4,max,4,0.5,0.0,0.1,1.3,50,15000,1.0,0.0,0.0,0.997,0.001400000000000001,0.00019798989873223344
BA,4,max,4,0.5,0.0,0.1,1.4,50,15000,1.0,0.0,0.0,0.99708,0.0012781236246936377,0.0001807539764431202
BA,4,max,4,0.5,0.0,0.1,1.5,50,15000,1.0,0.0,0.0,0.99708,0.0014538225476309011,0.00020560155641434252
BA,4,max,4,0.5,0.0,0.1,1.6,50,15000,1.0,0.0,0.0,0.99708,0.0012139192724394826,0.00017167410987099964
BA,4,max,4,0.5,0.0,0.1,1.7,50,15000,1.0,0.0,0.0,0.9974000000000001,0.0011489125293076068,0.00016248076809271937
BA,4,max,4,0.5,0.0,0.1,1.8,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9775999999999999,0.1393751771299323,0.019710626575530268
BA,4,max,4,0.5,0.0,0.1,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9773999999999999,0.13934834049962705,0.01970683130287566
BA,4,max,4,0.5,0.0,0.1,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769600000000002,0.13928804112342164,0.019698303683312428
BA,4,max,4,0.5,0.0,0.2,1.0,50,15000,1.0,0.0,0.0,0.99684,0.001836954000512807,0.0002597845260980725
BA,4,max,4,0.5,0.0,0.2,1.1,50,15000,1.0,0.0,0.0,0.9967600000000002,0.001871470010446335,0.0002646658270347725
BA,4,max,4,0.5,0.0,0.2,1.2,50,15000,1.0,0.0,0.0,0.99696,0.0016119553343687924,0.00022796490958040035
BA,4,max,4,0.5,0.0,0.2,1.3,50,15000,1.0,0.0,0.0,0.99688,0.0015574337867145442,0.00022025439836697945
BA,4,max,4,0.5,0.0,0.2,1.4,50,15000,1.0,0.0,0.0,0.9970399999999999,0.0013994284547628733,0.00019790907002964787
BA,4,max,4,0.5,0.0,0.2,1.5,50,15000,1.0,0.0,0.0,0.99668,0.0017255723688098408,0.00024403278468271451
BA,4,max,4,0.5,0.0,0.2,1.6,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769600000000002,0.13929206151105666,0.019698872251984374
BA,4,max,4,0.5,0.0,0.2,1.7,50,15000,1.0,0.0,0.0,0.99688,0.0015574337867145442,0.00022025439836697945
BA,4,max,4,0.5,0.0,0.2,1.8,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9576399999999999,0.19487008595472013,0.027558791845797598
BA,4,max,4,0.5,0.0,0.2,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97716,0.13902925735254432,0.01966170613146275
BA,4,max,4,0.5,0.0,0.2,2.0,50,15000,1.0,0.0,0.0,0.9972,0.0014966629547095778,0.0002116601048851674
BA,4,max,4,0.5,0.0,0.5,1.0,50,15000,1.0,0.0,0.0,0.9964799999999999,0.002022275945562328,0.0002859930069075119
BA,4,max,4,0.5,0.0,0.5,1.1,50,15000,1.0,0.0,0.0,0.99716,0.0014472042012100448,0.00020466558088745669
BA,4,max,4,0.5,0.0,0.5,1.2,50,15000,1.0,0.0,0.0,0.99676,0.001955095905575992,0.00027649231454056756
BA,4,max,4,0.5,0.0,0.5,1.3,50,15000,1.0,0.0,0.0,0.9969199999999999,0.0019270703152713463,0.0002725288975503334
BA,4,max,4,0.5,0.0,0.5,1.4,50,15000,1.0,0.0,0.0,0.99676,0.00203528867731337,0.00028783328508009655
BA,4,max,4,0.5,0.0,0.5,1.5,50,15000,1.0,0.0,0.0,0.9963200000000001,0.0026641321288554762,0.000376765178858132
BA,4,max,4,0.5,0.0,0.5,1.6,50,15000,1.0,0.0,0.0,0.9969199999999999,0.001798221343439123,0.0002543069012040375
BA,4,max,4,0.5,0.0,0.5,1.7,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9768000000000001,0.13785035364481296,0.01949498397024219
BA,4,max,4,0.5,0.0,0.5,1.8,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9765600000000001,0.137821356835579,0.01949088320215377
BA,4,max,4,0.5,0.0,0.5,1.9,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.95736,0.19399894432702464,0.027435593815334124
BA,4,max,4,0.5,0.0,0.5,2.0,50,15000,0.94,0.23748684174075838,0.033585711247493336,0.93744,0.2351656573566812,0.033257446203820276
BA,4,max,4,0.5,0.0,0.7,1.0,50,15000,1.0,0.0,0.0,0.9964399999999999,0.002050950998927085,0.00029004827184453305
BA,4,max,4,0.5,0.0,0.7,1.1,50,15000,1.0,0.0,0.0,0.9967199999999999,0.001778088861671431,0.00025145973832802756
BA,4,max,4,0.5,0.0,0.7,1.2,50,15000,1.0,0.0,0.0,0.99704,0.0016608431593621372,0.00023487869209445138
BA,4,max,4,0.5,0.0,0.7,1.3,50,15000,1.0,0.0,0.0,0.99712,0.002405327420539668,0.00034016466600750913
BA,4,max,4,0.5,0.0,0.7,1.4,50,15000,1.0,0.0,0.0,0.99708,0.0015600000000000013,0.000220617315730203
BA,4,max,4,0.5,0.0,0.7,1.5,50,15000,1.0,0.0,0.0,0.99696,0.0015615377036754523,0.0002208347798694764
BA,4,max,4,0.5,0.0,0.7,1.6,50,15000,1.0,0.0,0.0,0.9969199999999999,0.0017531685600648916,0.000247935475476988
BA,4,max,4,0.5,0.0,0.7,1.7,50,15000,1.0,0.0,0.0,0.99704,0.0016119553343687924,0.00022796490958040035
BA,4,max,4,0.5,0.0,0.7,1.8,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9771199999999999,0.1387430200046114,0.019621226057512306
BA,4,max,4,0.5,0.0,0.7,1.9,50,15000,1.0,0.0,0.0,0.9972,0.0014966629547095778,0.0002116601048851674
BA,4,max,4,0.5,0.0,0.7,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97728,0.13847614090521154,0.019583483653323786
BA,4,max,4,0.5,0.0,1.0,1.0,50,15000,1.0,0.0,0.0,0.9968400000000002,0.0018800000000000017,0.0002658721497261421
BA,4,max,4,0.5,0.0,1.0,1.1,50,15000,1.0,0.0,0.0,0.9965999999999999,0.002088061301782112,0.0002952964612046683
BA,4,max,4,0.5,0.0,1.0,1.2,50,15000,1.0,0.0,0.0,0.99684,0.0019632625906892856,0.0002776472582252526
BA,4,max,4,0.5,0.0,1.0,1.3,50,15000,1.0,0.0,0.0,0.9968,0.0018761663039293735,0.00026532998322843223
BA,4,max,4,0.5,0.0,1.0,1.4,50,15000,1.0,0.0,0.0,0.9968800000000002,0.001924993506482556,0.0002722351924347771
BA,4,max,4,0.5,0.0,1.0,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97724,0.138758431815872,0.019623405616762853
BA,4,max,4,0.5,0.0,1.0,1.6,50,15000,1.0,0.0,0.0,0.9969999999999999,0.0015099668870541512,0.0002135415650406264
BA,4,max,4,0.5,0.0,1.0,1.7,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97712,0.1378841020567636,0.019499756716431105
BA,4,max,4,0.5,0.0,1.0,1.8,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9572400000000001,0.19397479836308634,0.027432179060366314
BA,4,max,4,0.5,0.0,1.0,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9772,0.1378915515903712,0.019500810239577226
BA,4,max,4,0.5,0.0,1.0,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9772000000000002,0.13789271191763544,0.019500974334632614
BA,4,max,4,0.5,0.0,2.0,1.0,50,15000,1.0,0.0,0.0,0.9963199999999999,0.0024449130863897824,0.00034576292455958926
BA,4,max,4,0.5,0.0,2.0,1.1,50,15000,1.0,0.0,0.0,0.99676,0.002186869909253865,0.00030927010848124357
BA,4,max,4,0.5,0.0,2.0,1.2,50,15000,1.0,0.0,0.0,0.9965600000000001,0.001745393938341716,0.0002468359779286644
BA,4,max,4,0.5,0.0,2.0,1.3,50,15000,1.0,0.0,0.0,0.99668,0.0018594622878671152,0.00026296767862229786
BA,4,max,4,0.5,0.0,2.0,1.4,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0017088007490635075,0.00024166091947189162
BA,4,max,4,0.5,0.0,2.0,1.5,50,15000,1.0,0.0,0.0,0.99684,0.001792874786481199,0.00025355078386784787
BA,4,max,4,0.5,0.0,2.0,1.6,50,15000,1.0,0.0,0.0,0.99716,0.001553833967964404,0.00021974530711712614
BA,4,max,4,0.5,0.0,2.0,1.7,50,15000,1.0,0.0,0.0,0.99688,0.001607980099379344,0.00022740272645683054
BA,4,max,4,0.5,0.0,2.0,1.8,50,15000,1.0,0.0,0.0,0.9969999999999999,0.0015620499351813326,0.00022090722034374545
BA,4,max,4,0.5,0.0,2.0,1.9,50,15000,1.0,0.0,0.0,0.99716,0.0013908270920570981,0.00019669265365030814
BA,4,max,4,0.5,0.0,2.0,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.977,0.13729690455359875,0.019416714449154368
BA,4,max,4,0.5,0.1,0.0,1.0,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0018225257199831245,0.0002577440590973924
BA,4,max,4,0.5,0.1,0.0,1.1,50,15000,1.0,0.0,0.0,0.99676,0.0016438978070427628,0.00023248225738752641
BA,4,max,4,0.5,0.1,0.0,1.2,50,15000,1.0,0.0,0.0,0.9967999999999999,0.0016492422502470657,0.0002332380757938122
BA,4,max,4,0.5,0.1,0.0,1.3,50,15000,1.0,0.0,0.0,0.9969999999999999,0.001400000000000001,0.00019798989873223344
BA,4,max,4,0.5,0.1,0.0,1.4,50,15000,1.0,0.0,0.0,0.9970000000000002,0.0014560219778561052,0.00020591260281974021
BA,4,max,4,0.5,0.1,0.0,1.5,50,15000,1.0,0.0,0.0,0.9968400000000002,0.0015014659503298782,0.00021233935103979215
BA,4,max,4,0.5,0.1,0.0,1.6,50,15000,1.0,0.0,0.0,0.9571199999999999,0.19537457767068878,0.02763013774848037
BA,4,max,4,0.5,0.1,0.0,1.7,50,15000,1.0,0.0,0.0,0.9376400000000001,0.23689244479299038,0.03350165082499667
BA,4,max,4,0.5,0.1,0.0,1.8,50,15000,0.9753917333333334,0.14302530998119803,0.020226833313802626,0.93744,0.2368432528065767,0.033494694027562034
