Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
ER,4,max,4,0.5,0.0,0.0,1.0,50,15000,0.9845999999999994,0.003515679166249197,0.000497192115786215,0.9845999999999999,0.003515679166249392,0.0004971921157862425
ER,4,max,4,0.5,0.0,0.0,1.1,50,15000,0.9849199999999996,0.0037354517799052522,0.0005282726568732726,0.98492,0.0037354517799056144,0.0005282726568733237
ER,4,max,4,0.5,0.0,0.0,1.2,50,15000,0.9845599999999993,0.0030994193004488186,0.00043832408101756497,0.98456,0.0030994193004496855,0.0004383240810176876
ER,4,max,4,0.5,0.0,0.0,1.3,50,15000,0.9849999999999999,0.003469870314579211,0.0004907137658553718,0.9849999999999999,0.0034698703145794978,0.0004907137658554123
ER,4,max,4,0.5,0.0,0.0,1.4,50,15000,0.08876000000000013,0.26416839780715695,0.03735905309292523,0.08875999999999999,0.26416839780715634,0.03735905309292515
ER,4,max,4,0.5,0.0,0.0,1.5,50,15000,0.010679999999999976,0.00450084436522746,0.0006365155143435197,0.01068,0.004500844365227485,0.0006365155143435233
ER,4,max,4,0.5,0.0,0.0,1.6,50,15000,0.01111999999999997,0.004457084248698895,0.0006303268993149473,0.011120000000000001,0.004457084248698917,0.0006303268993149506
ER,4,max,4,0.5,0.0,0.0,1.7,50,15000,0.01179999999999997,0.005126402247190498,0.0007249827584156713,0.011800000000000001,0.0051264022471905184,0.0007249827584156742
ER,4,max,4,0.5,0.0,0.0,1.8,50,15000,0.011319999999999972,0.004989749492710011,0.0007056571405434768,0.011320000000000002,0.00498974949271003,0.0007056571405434795
ER,4,max,4,0.5,0.0,0.0,1.9,50,15000,0.011799999999999977,0.004404543109109035,0.0006228964600958956,0.011800000000000001,0.004404543109109048,0.0006228964600958974
ER,4,max,4,0.5,0.0,0.0,2.0,50,15000,0.011999999999999976,0.004252058325093845,0.0006013318551349141,0.012,0.004252058325093859,0.0006013318551349162
ER,4,max,4,0.5,0.0,0.1,1.0,50,15000,0.9864799999999998,0.004605388148680278,0.0006513002379855969,0.9864799999999999,0.004605388148679765,0.0006513002379855244
ER,4,max,4,0.5,0.0,0.1,1.1,50,15000,0.9858799999999998,0.004872945721019466,0.000689138592737367,0.98588,0.004872945721019273,0.0006891385927373396
ER,4,max,4,0.5,0.0,0.1,1.2,50,15000,0.9854799999999997,0.004114559514698798,0.00058188658688783,0.9854799999999999,0.004114559514698995,0.0005818865868878579
ER,4,max,4,0.5,0.0,0.1,1.3,50,15000,0.9855199999999996,0.004050876448375083,0.0005728804412789797,0.9855200000000001,0.004050876448375095,0.0005728804412789813
ER,4,max,4,0.5,0.0,0.1,1.4,50,15000,0.20599999999999985,0.38942521746800096,0.055073042407333885,0.206,0.3894252174680012,0.05507304240733392
ER,4,max,4,0.5,0.0,0.1,1.5,50,15000,0.011279999999999965,0.004171522503834758,0.0005899423700667687,0.011280000000000002,0.004171522503834781,0.0005899423700667718
ER,4,max,4,0.5,0.0,0.1,1.6,50,15000,0.01151999999999997,0.0037854458125826966,0.000535342880778289,0.01152,0.0037854458125827135,0.0005353428807782914
ER,4,max,4,0.5,0.0,0.1,1.7,50,15000,0.01123999999999997,0.003937308725512883,0.0005568195398870245,0.011240000000000002,0.003937308725512898,0.0005568195398870265
ER,4,max,4,0.5,0.0,0.1,1.8,50,15000,0.010319999999999972,0.0037172032497564456,0.0005256919249902909,0.010320000000000001,0.0037172032497564617,0.0005256919249902931
ER,4,max,4,0.5,0.0,0.1,1.9,50,15000,0.010559999999999974,0.0038995384342252444,0.0005514780140676484,0.01056,0.0038995384342252605,0.0005514780140676507
ER,4,max,4,0.5,0.0,0.1,2.0,50,15000,0.010279999999999973,0.003622374911573876,0.0005122811727947816,0.010280000000000001,0.003622374911573897,0.0005122811727947846
ER,4,max,4,0.5,0.0,0.2,1.0,50,15000,0.9846400000000002,0.0038039978969496356,0.0005379665417104906,0.9846399999999998,0.0038039978969500003,0.0005379665417105422
ER,4,max,4,0.5,0.0,0.2,1.1,50,15000,0.9849600000000004,0.0041034619530342775,0.0005803171546663064,0.98496,0.004103461953034295,0.0005803171546663087
ER,4,max,4,0.5,0.0,0.2,1.2,50,15000,0.9857600000000005,0.0043200000000003895,0.0006109402589452321,0.9857600000000001,0.0043200000000000035,0.0006109402589451775
ER,4,max,4,0.5,0.0,0.2,1.3,50,15000,0.9673200000000004,0.13595799939687264,0.019227364666017037,0.9673200000000002,0.13595799939687256,0.019227364666017023
ER,4,max,4,0.5,0.0,0.2,1.4,50,15000,0.149,0.33749554071128113,0.04772907709143348,0.14900000000000002,0.33749554071128113,0.04772907709143348
ER,4,max,4,0.5,0.0,0.2,1.5,50,15000,0.012599999999999962,0.0034467375879228047,0.0004874423042781558,0.0126,0.003446737587922817,0.00048744230427815756
ER,4,max,4,0.5,0.0,0.2,1.6,50,15000,0.01223999999999996,0.003338023367203999,0.0004720677917418201,0.012240000000000003,0.00333802336720401,0.0004720677917418217
ER,4,max,4,0.5,0.0,0.2,1.7,50,15000,0.011519999999999964,0.0030082553083140957,0.00042543154560986505,0.01152,0.0030082553083141065,0.00042543154560986657
ER,4,max,4,0.5,0.0,0.2,1.8,50,15000,0.011279999999999965,0.003218943926196894,0.00045522741569461463,0.011280000000000002,0.003218943926196913,0.00045522741569461734
ER,4,max,4,0.5,0.0,0.2,1.9,50,15000,0.011239999999999964,0.0030695928068719264,0.0004341059778441175,0.011240000000000002,0.003069592806871947,0.0004341059778441204
ER,4,max,4,0.5,0.0,0.2,2.0,50,15000,0.011319999999999964,0.00340846006284361,0.0004820290447680485,0.011320000000000002,0.00340846006284363,0.00048202904476805133
ER,4,max,4,0.5,0.0,0.5,1.0,50,15000,0.9855199999999997,0.004090183369973008,0.0005784392794408718,0.98552,0.004090183369972553,0.0005784392794408076
ER,4,max,4,0.5,0.0,0.5,1.1,50,15000,0.9851199999999996,0.003922448215082052,0.0005547179463475177,0.98512,0.003922448215082008,0.0005547179463475115
ER,4,max,4,0.5,0.0,0.5,1.2,50,15000,0.9847599999999995,0.003663659372812646,0.0005181196772946951,0.98476,0.003663659372812929,0.0005181196772947351
ER,4,max,4,0.5,0.0,0.5,1.3,50,15000,0.9656399999999995,0.13657390087421525,0.01931446628825139,0.9656399999999998,0.13657390087421534,0.0193144662882514
ER,4,max,4,0.5,0.0,0.5,1.4,50,15000,0.22583973333333315,0.4024726215758668,0.05691822399164451,0.22583999999999999,0.402473122580875,0.05691829484445225
ER,4,max,4,0.5,0.0,0.5,1.5,50,15000,0.01183999999999997,0.0034834465691323422,0.0004926337381868986,0.011840000000000002,0.0034834465691323587,0.0004926337381869008
ER,4,max,4,0.5,0.0,0.5,1.6,50,15000,0.01163999999999997,0.0034103372267269864,0.0004822945158303153,0.011640000000000001,0.003410337226726999,0.0004822945158303171
ER,4,max,4,0.5,0.0,0.5,1.7,50,15000,0.012039999999999966,0.0033583329197683673,0.000474939996210046,0.012040000000000002,0.003358332919768378,0.0004749399962100475
ER,4,max,4,0.5,0.0,0.5,1.8,50,15000,0.011079999999999972,0.00349193356179638,0.0004938339801998228,0.011080000000000001,0.0034919335617963863,0.0004938339801998237
ER,4,max,4,0.5,0.0,0.5,1.9,50,15000,0.011159999999999969,0.003512036446280131,0.0004966769573877969,0.011160000000000002,0.003512036446280135,0.0004966769573877974
ER,4,max,4,0.5,0.0,0.5,2.0,50,15000,0.010559999999999972,0.0034650252524332293,0.000490028570595633,0.01056,0.003465025252433235,0.0004900285705956338
ER,4,max,4,0.5,0.0,0.7,1.0,50,15000,0.9854400000000006,0.003919999999999862,0.0005543717164502337,0.9854400000000001,0.003920000000000003,0.0005543717164502537
ER,4,max,4,0.5,0.0,0.7,1.1,50,15000,0.9858000000000007,0.0036496575181792085,0.0005161395160225967,0.9858,0.003649657518178935,0.000516139516022558
ER,4,max,4,0.5,0.0,0.7,1.2,50,15000,0.9856000000000005,0.0038157568056682556,0.0005396295025293486,0.9855999999999999,0.0038157568056677864,0.0005396295025292822
ER,4,max,4,0.5,0.0,0.7,1.3,50,15000,0.9858400000000006,0.004397089946772438,0.0006218424237699972,0.98584,0.004397089946771618,0.0006218424237698813
ER,4,max,4,0.5,0.0,0.7,1.4,50,15000,0.4006800000000002,0.4778487811013022,0.06757802269969139,0.40068000000000004,0.47784878110130197,0.06757802269969135
ER,4,max,4,0.5,0.0,0.7,1.5,50,15000,0.010839999999999975,0.003941370320079024,0.0005573939360990542,0.01084,0.003941370320079045,0.0005573939360990572
ER,4,max,4,0.5,0.0,0.7,1.6,50,15000,0.010679999999999976,0.004187791780879245,0.0005922431932914005,0.01068,0.004187791780879274,0.0005922431932914046
ER,4,max,4,0.5,0.0,0.7,1.7,50,15000,0.010919999999999977,0.004237168866118009,0.0005992261676529117,0.010920000000000001,0.004237168866118035,0.0005992261676529154
ER,4,max,4,0.5,0.0,0.7,1.8,50,15000,0.01087999999999998,0.003691287038418966,0.0005220268192344117,0.01088,0.0036912870384189847,0.0005220268192344144
ER,4,max,4,0.5,0.0,0.7,1.9,50,15000,0.011759999999999975,0.003808201675331794,0.0005385610457506165,0.011760000000000001,0.0038082016753318093,0.0005385610457506187
ER,4,max,4,0.5,0.0,0.7,2.0,50,15000,0.011679999999999979,0.0037812167353908576,0.000534744798946187,0.011680000000000001,0.0037812167353908715,0.0005347447989461889
ER,4,max,4,0.5,0.0,1.0,1.0,50,15000,0.98496,0.0035606740934824984,0.0005035553594193475,0.98496,0.003560674093482865,0.0005035553594193993
ER,4,max,4,0.5,0.0,1.0,1.1,50,15000,0.9850799999999998,0.0037354517799054647,0.0005282726568733026,0.98508,0.0037354517799056144,0.0005282726568733237
ER,4,max,4,0.5,0.0,1.0,1.2,50,15000,0.9850799999999995,0.003984168671128419,0.0005634465369491801,0.9850799999999998,0.0039841686711282725,0.0005634465369491594
ER,4,max,4,0.5,0.0,1.0,1.3,50,15000,0.9849199999999999,0.00416096142736271,0.0005884488083087656,0.98492,0.004160961427362675,0.0005884488083087607
ER,4,max,4,0.5,0.0,1.0,1.4,50,15000,0.26395973333333317,0.4263638076988761,0.06029694793527848,0.26396,0.42636425553744534,0.060297011269216313
ER,4,max,4,0.5,0.0,1.0,1.5,50,15000,0.010439999999999979,0.004200761835667398,0.0005940774360300132,0.01044,0.00420076183566743,0.0005940774360300178
ER,4,max,4,0.5,0.0,1.0,1.6,50,15000,0.010199999999999971,0.00402492235949959,0.0005692099788303038,0.0102,0.004024922359499621,0.0005692099788303082
ER,4,max,4,0.5,0.0,1.0,1.7,50,15000,0.010239999999999973,0.003765952734700716,0.0005325861432669799,0.01024,0.0037659527347007424,0.0005325861432669836
ER,4,max,4,0.5,0.0,1.0,1.8,50,15000,0.010359999999999973,0.0037881921809749582,0.00053573127592105,0.010360000000000001,0.003788192180974983,0.0005357312759210535
ER,4,max,4,0.5,0.0,1.0,1.9,50,15000,0.010679999999999973,0.0035913228760444094,0.0005078897518162753,0.01068,0.0035913228760444255,0.0005078897518162776
ER,4,max,4,0.5,0.0,1.0,2.0,50,15000,0.011079999999999968,0.0037780418208378567,0.0005342957982241639,0.011080000000000001,0.003778041820837879,0.0005342957982241672
ER,4,max,4,0.5,0.0,2.0,1.0,50,15000,0.9844800000000007,0.0038274795884494805,0.0005412873543691447,0.98448,0.0038274795884498227,0.0005412873543691932
ER,4,max,4,0.5,0.0,2.0,1.1,50,15000,0.9845200000000005,0.0041339569422038265,0.000584629797393106,0.98452,0.004133956942204409,0.0005846297973931885
ER,4,max,4,0.5,0.0,2.0,1.2,50,15000,0.9847600000000003,0.004212172835959581,0.0005956911951673582,0.9847599999999997,0.004212172835960086,0.0005956911951674296
ER,4,max,4,0.5,0.0,2.0,1.3,50,15000,0.9847200000000007,0.004467840641741268,0.0006318480830072213,0.9847199999999999,0.004467840641741829,0.0006318480830073006
ER,4,max,4,0.5,0.0,2.0,1.4,50,15000,0.34236,0.46080532809419644,0.06516771446045964,0.34236,0.46080532809419644,0.06516771446045964
ER,4,max,4,0.5,0.0,2.0,1.5,50,15000,0.011319999999999972,0.004623591677473236,0.000653874605715802,0.011320000000000002,0.0046235916774732605,0.0006538746057158053
ER,4,max,4,0.5,0.0,2.0,1.6,50,15000,0.011519999999999973,0.004428272800991357,0.0006262523453049871,0.01152,0.004428272800991375,0.0006262523453049897
ER,4,max,4,0.5,0.0,2.0,1.7,50,15000,0.010879999999999975,0.0042738273245417685,0.0006044104565607688,0.01088,0.004273827324541786,0.0006044104565607713
ER,4,max,4,0.5,0.0,2.0,1.8,50,15000,0.01095999999999998,0.004458519933789677,0.0006305299358476154,0.011160000000000002,0.004177846335134886,0.0005908366948658486
ER,4,max,4,0.5,0.0,2.0,1.9,50,15000,0.010599999999999984,0.0044407206622349,0.0006280127387243028,0.01076,0.0041931372503174755,0.0005929991568290801
ER,4,max,4,0.5,0.0,2.0,2.0,50,15000,0.010959999999999985,0.004256571390215362,0.0006019700989251865,0.011000000000000001,0.004161730409336962,0.0005885575587824863
ER,4,max,4,0.5,0.1,0.0,1.0,50,15000,0.9864799999999998,0.004605388148680278,0.0006513002379855969,0.9757999999999999,0.0027495454169735064,0.00038884444190447195
ER,4,max,4,0.5,0.1,0.0,1.1,50,15000,0.9858799999999998,0.004872945721019466,0.000689138592737367,0.9755599999999999,0.0026318054639353594,0.00037219349806250003
ER,4,max,4,0.5,0.1,0.0,1.2,50,15000,0.9854799999999997,0.004114559514698798,0.00058188658688783,0.9754399999999999,0.002562498780487517,0.0003623920528929963
ER,4,max,4,0.5,0.1,0.0,1.3,50,15000,0.9660399999999996,0.13663703158368154,0.019323394318804338,0.9557199999999998,0.1365524133803574,0.019311427497727872
ER,4,max,4,0.5,0.1,0.0,1.4,50,15000,0.12795973333333316,0.3165118950615983,0.04476154146485222,0.1182,0.31603449178847554,0.04469402644649506
ER,4,max,4,0.5,0.1,0.0,1.5,50,15000,0.011159999999999969,0.00406132983147144,0.0005743587728937347,0.0012000000000000001,0.0024000000000000002,0.00033941125496954284
ER,4,max,4,0.5,0.1,0.0,1.6,50,15000,0.01151999999999997,0.0037854458125826966,0.000535342880778289,0.0012000000000000001,0.0024,0.0003394112549695428
ER,4,max,4,0.5,0.1,0.0,1.7,50,15000,0.01123999999999997,0.003937308725512883,0.0005568195398870245,0.0012,0.0024000000000000002,0.00033941125496954284
ER,4,max,4,0.5,0.1,0.0,1.8,50,15000,0.01019999999999997,0.003627671429443393,0.0005130302135352238,0.00072,0.0019497692171126307,0.0002757390070338254
ER,4,max,4,0.5,0.1,0.0,1.9,50,15000,0.010439999999999979,0.0037585103432077843,0.0005315336301684005,0.00072,0.0019497692171126307,0.0002757390070338254
ER,4,max,4,0.5,0.1,0.0,2.0,50,15000,0.010279999999999973,0.003622374911573876,0.0005122811727947816,0.00048,0.0016277591959500642,0.00023019991311901052
ER,4,max,4,0.5,0.1,0.1,1.0,50,15000,0.9846400000000002,0.0038039978969496356,0.0005379665417104906,0.9748399999999998,0.0020819221887476984,0.0002944282595132474
ER,4,max,4,0.5,0.1,0.1,1.1,50,15000,0.9849600000000004,0.0041034619530342775,0.0005803171546663064,0.9749599999999998,0.002199636333578805,0.0003110755535235775
ER,4,max,4,0.5,0.1,0.1,1.2,50,15000,0.9856400000000004,0.004227339588914477,0.0005978360979399558,0.9748399999999998,0.0020819221887476984,0.0002944282595132474
ER,4,max,4,0.5,0.1,0.1,1.3,50,15000,0.9864400000000002,0.003800842011976404,0.0005375202321774472,0.9749599999999998,0.002199636333578805,0.0003110755535235775
ER,4,max,4,0.5,0.1,0.1,1.4,50,15000,0.14888000000000007,0.3378899607860526,0.04778485651333488,0.13732,0.33758497833878803,0.047741725482014157
ER,4,max,4,0.5,0.1,0.1,1.5,50,15000,0.01247999999999996,0.0034306850627826378,0.00048517213440179993,0.00084,0.0020819221887476967,0.0002944282595132471
ER,4,max,4,0.5,0.1,0.1,1.6,50,15000,0.01223999999999996,0.003338023367203999,0.0004720677917418201,0.00096,0.002199636333578803,0.00031107555352357725
ER,4,max,4,0.5,0.1,0.1,1.7,50,15000,0.011519999999999964,0.0030082553083140957,0.00042543154560986505,0.00072,0.0019497692171126307,0.0002757390070338254
ER,4,max,4,0.5,0.1,0.1,1.8,50,15000,0.011159999999999965,0.0033006665993401798,0.00046678474696587645,0.00036,0.00142492105044455,0.00020151426748495996
ER,4,max,4,0.5,0.1,0.1,1.9,50,15000,0.011239999999999964,0.0030695928068719264,0.0004341059778441175,0.00036,0.00142492105044455,0.00020151426748495996
ER,4,max,4,0.5,0.1,0.1,2.0,50,15000,0.011079999999999963,0.0034225136961011345,0.00048401652864338935,0.00048,0.001627759195950064,0.00023019991311901047
ER,4,max,4,0.5,0.1,0.2,1.0,50,15000,0.9857999999999997,0.0033999999999995514,0.00048083261120678884,0.9749599999999998,0.002199636333578805,0.0003110755535235775
ER,4,max,4,0.5,0.1,0.2,1.1,50,15000,0.9855200000000001,0.0037215050718759483,0.0005263002945087226,0.9748399999999998,0.0020819221887476984,0.0002944282595132474
ER,4,max,4,0.5,0.1,0.2,1.2,50,15000,0.9850800000000006,0.003799157801407912,0.0005372820488346618,0.9748399999999998,0.0020819221887476984,0.0002944282595132474
ER,4,max,4,0.5,0.1,0.2,1.3,50,15000,0.9656400000000008,0.13685711673128304,0.01935451905886583,0.9554799999999998,0.13651479626765736,0.0193061076346321
ER,4,max,4,0.5,0.1,0.2,1.4,50,15000,0.18596000000000024,0.3731885292985309,0.052776827945605155,0.17628,0.3743799161279889,0.05294531548683037
ER,4,max,4,0.5,0.1,0.2,1.5,50,15000,0.010639999999999967,0.0039686773615399615,0.0005612557349372884,0.0010800000000000002,0.0023051247254758257,0.000325993864972947
ER,4,max,4,0.5,0.1,0.2,1.6,50,15000,0.010679999999999966,0.003657540156990739,0.0005172542894940522,0.00108,0.0023051247254758257,0.000325993864972947
ER,4,max,4,0.5,0.1,0.2,1.7,50,15000,0.010839999999999968,0.003489183285526834,0.0004934450323997564,0.00084,0.0020819221887476967,0.0002944282595132471
ER,4,max,4,0.5,0.1,0.2,1.8,50,15000,0.010679999999999969,0.0032399999999999807,0.00045820519420888004,0.00048,0.0016277591959500642,0.00023019991311901052
ER,4,max,4,0.5,0.1,0.2,1.9,50,15000,0.011439999999999968,0.0034880366970546396,0.0004932828803029726,0.00072,0.0019497692171126307,0.0002757390070338254
ER,4,max,4,0.5,0.1,0.2,2.0,50,15000,0.011599999999999966,0.0033466401061362804,0.00047328638264796616,0.00084,0.0020819221887476967,0.0002944282595132471
ER,4,max,4,0.5,0.1,0.5,1.0,50,15000,0.9851599999999996,0.0040017995951823985,0.0005659399261406109,0.9753199999999999,0.0024854778212649595,0.0003514996443810437
ER,4,max,4,0.5,0.1,0.5,1.1,50,15000,0.9853199999999995,0.004263519672758853,0.000602952734466007,0.9753199999999999,0.00248547782126496,0.00035149964438104377
ER,4,max,4,0.5,0.1,0.5,1.2,50,15000,0.9856799999999992,0.004705061104810604,0.0006653961226217293,0.9751999999999998,0.0024000000000000024,0.0003394112549695431
ER,4,max,4,0.5,0.1,0.5,1.3,50,15000,0.9471199999999996,0.19175282422952725,0.027117944464874165,0.9361199999999998,0.1904858671922933,0.026938769682374138
ER,4,max,4,0.5,0.1,0.5,1.4,50,15000,0.18719999999999973,0.37354988957299895,0.05282793200571071,0.17652,0.3745808986053613,0.05297373870136031
ER,4,max,4,0.5,0.1,0.5,1.5,50,15000,0.012039999999999962,0.004427008018967178,0.0006260734781157831,0.0015600000000000002,0.0026318054639353572,0.00037219349806249976
ER,4,max,4,0.5,0.1,0.5,1.6,50,15000,0.011719999999999968,0.004454391091945082,0.0006299460294342634,0.00132,0.0024854778212649578,0.00035149964438104344
ER,4,max,4,0.5,0.1,0.5,1.7,50,15000,0.011159999999999969,0.004001799595182121,0.0005659399261405717,0.00108,0.0023051247254758257,0.000325993864972947
ER,4,max,4,0.5,0.1,0.5,1.8,50,15000,0.010799999999999966,0.0037523326078587214,0.0005306599664568608,0.00132,0.0024854778212649578,0.00035149964438104344
ER,4,max,4,0.5,0.1,0.5,1.9,50,15000,0.010559999999999967,0.0036230373997517425,0.0005123748627713867,0.0012000000000000001,0.0024000000000000002,0.00033941125496954284
ER,4,max,4,0.5,0.1,0.5,2.0,50,15000,0.010479999999999969,0.003312038647117497,0.00046839299738574017,0.0012000000000000001,0.0024,0.0003394112549695428
ER,4,max,4,0.5,0.1,0.7,1.0,50,15000,0.9858000000000007,0.0038832975677895423,0.0005491812087098424,0.9751999999999998,0.002400000000000002,0.00033941125496954306
ER,4,max,4,0.5,0.1,0.7,1.1,50,15000,0.9858000000000007,0.0036715119501371327,0.0005192301994298824,0.9750799999999998,0.0023051247254758274,0.0003259938649729472
ER,4,max,4,0.5,0.1,0.7,1.2,50,15000,0.985680000000001,0.003906097797034803,0.0005524056480522287,0.9749599999999998,0.0021996363335788052,0.00031107555352357757
ER,4,max,4,0.5,0.1,0.7,1.3,50,15000,0.9857600000000004,0.0037232244090306347,0.0005265434455009675,0.9751999999999998,0.002400000000000002,0.00033941125496954306
ER,4,max,4,0.5,0.1,0.7,1.4,50,15000,0.4201999999999998,0.48156731616670145,0.06810390297185615,0.40991999999999995,0.48098814288919844,0.06802199550145525
ER,4,max,4,0.5,0.1,0.7,1.5,50,15000,0.011279999999999967,0.003893789927564123,0.0005506650524592934,0.00096,0.002199636333578803,0.00031107555352357725
ER,4,max,4,0.5,0.1,0.7,1.6,50,15000,0.011119999999999968,0.003901999487442283,0.0005518260595513742,0.0012000000000000001,0.0024000000000000002,0.00033941125496954284
ER,4,max,4,0.5,0.1,0.7,1.7,50,15000,0.011599999999999961,0.003878143885933036,0.0005484523680320796,0.00132,0.0024854778212649578,0.00035149964438104344
ER,4,max,4,0.5,0.1,0.7,1.8,50,15000,0.01143999999999996,0.003919999999999971,0.0005543717164502492,0.0010800000000000002,0.0023051247254758257,0.000325993864972947
ER,4,max,4,0.5,0.1,0.7,1.9,50,15000,0.011399999999999964,0.004024922359499596,0.0005692099788303047,0.00084,0.0020819221887476967,0.0002944282595132471
ER,4,max,4,0.5,0.1,0.7,2.0,50,15000,0.011239999999999962,0.003937308725512876,0.0005568195398870235,0.00096,0.002199636333578803,0.00031107555352357725
ER,4,max,4,0.5,0.1,1.0,1.0,50,15000,0.9854400000000009,0.004060344812943674,0.0005742194702376191,0.9754399999999999,0.002562498780487517,0.0003623920528929963
ER,4,max,4,0.5,0.1,1.0,1.1,50,15000,0.9856000000000009,0.004039801975344912,0.0005713142742834393,0.9756799999999999,0.00269399331847724,0.0003809881887933013
ER,4,max,4,0.5,0.1,1.0,1.2,50,15000,0.9858400000000006,0.004211223100240687,0.0005955568822539252,0.9760399999999998,0.0028422526277584854,0.0004019552213866618
ER,4,max,4,0.5,0.1,1.0,1.3,50,15000,0.9858800000000008,0.004164804917399714,0.0005889923598824833,0.9760399999999998,0.0028422526277584854,0.0004019552213866618
ER,4,max,4,0.5,0.1,1.0,1.4,50,15000,0.2643600000000001,0.4275900260763811,0.060470361401268345,0.25492,0.42761014206868386,0.060473206232181866
ER,4,max,4,0.5,0.1,1.0,1.5,50,15000,0.010959999999999975,0.003944413771398716,0.0005578243451123272,0.00144,0.0025624987804875148,0.000362392052892996
ER,4,max,4,0.5,0.1,1.0,1.6,50,15000,0.010599999999999972,0.0037576588456111628,0.0005314132102234534,0.0012000000000000001,0.0024000000000000002,0.00033941125496954284
ER,4,max,4,0.5,0.1,1.0,1.7,50,15000,0.010599999999999981,0.003538361202590811,0.00050039984012787,0.00096,0.002199636333578803,0.00031107555352357725
ER,4,max,4,0.5,0.1,1.0,1.8,50,15000,0.01095999999999997,0.003492620792470875,0.0004939311692938579,0.00096,0.002199636333578803,0.00031107555352357725
ER,4,max,4,0.5,0.1,1.0,1.9,50,15000,0.011679999999999961,0.003695619027984329,0.0005226394550739513,0.0010800000000000002,0.0023051247254758257,0.000325993864972947
ER,4,max,4,0.5,0.1,1.0,2.0,50,15000,0.011999999999999964,0.004059556626036869,0.0005741080037762902,0.00132,0.0024854778212649578,0.00035149964438104344
ER,4,max,4,0.5,0.1,2.0,1.0,50,15000,0.9849600000000001,0.004256571390216161,0.0006019700989252994,0.9749599999999998,0.002199636333578805,0.0003110755535235775
ER,4,max,4,0.5,0.1,2.0,1.1,50,15000,0.9854399999999999,0.004454929853544937,0.0006300222218304036,0.9750799999999998,0.0023051247254758274,0.0003259938649729472
ER,4,max,4,0.5,0.1,2.0,1.2,50,15000,0.9861999999999997,0.0045825756949565526,0.0006480740698408868,0.9751999999999998,0.002400000000000002,0.00033941125496954306
ER,4,max,4,0.5,0.1,2.0,1.3,50,15000,0.9860399999999998,0.004029689814365503,0.0005698841987632414,0.9749599999999998,0.0021996363335788052,0.00031107555352357757
ER,4,max,4,0.5,0.1,2.0,1.4,50,15000,0.30464,0.44694687648533826,0.0632078334385858,0.29375999999999997,0.4466385814055924,0.06316423393028685
ER,4,max,4,0.5,0.1,2.0,1.5,50,15000,0.012879999999999952,0.004329618920875114,0.0006123005797808751,0.0016799999999999999,0.0026939933184772376,0.000380988188793301
ER,4,max,4,0.5,0.1,2.0,1.6,50,15000,0.012519999999999951,0.004504397850989607,0.0006370180531193726,0.0018000000000000002,0.002749545416973504,0.00038884444190447157
ER,4,max,4,0.5,0.1,2.0,1.7,50,15000,0.011719999999999958,0.004490167034754914,0.0006350055117870984,0.00168,0.0026939933184772376,0.000380988188793301
ER,4,max,4,0.5,0.1,2.0,1.8,50,15000,0.010879999999999961,0.0047859795235666944,0.0006768397151467943,0.0014399999999999999,0.0025624987804875143,0.00036239205289299593
ER,4,max,4,0.5,0.1,2.0,1.9,50,15000,0.010719999999999967,0.004538898544801338,0.0006418971880293558,0.0010800000000000002,0.0023051247254758257,0.000325993864972947
ER,4,max,4,0.5,0.1,2.0,2.0,50,15000,0.010439999999999974,0.004350448252766577,0.0006152462921464827,0.00084,0.0020819221887476967,0.0002944282595132471
ER,4,max,4,0.5,0.2,0.0,1.0,50,15000,0.9846400000000002,0.0038039978969496356,0.0005379665417104906,0.9741999999999998,0.0009165151389911687,0.00012961481396815732
ER,4,max,4,0.5,0.2,0.0,1.1,50,15000,0.9848400000000004,0.004100536550257744,0.0005799034402381085,0.9741999999999998,0.0009165151389911687,0.00012961481396815732
ER,4,max,4,0.5,0.2,0.0,1.2,50,15000,0.9545528000000005,0.12361436692366225,0.017481711420760725,0.9157599999999999,0.23136452277736966,0.032719884596373504
ER,4,max,4,0.5,0.2,0.0,1.3,50,15000,0.4994400000000001,0.48649456975386696,0.06880072185667824,0.4873599999999999,0.48672151216070164,0.06883281635964056
ER,4,max,4,0.5,0.2,0.0,1.4,50,15000,0.012519999999999965,0.0035957752988750417,0.0005085194194915253,0.00036,0.0012451505933018703,0.00017609088562444108
ER,4,max,4,0.5,0.2,0.0,1.5,50,15000,0.01247999999999996,0.0034306850627826378,0.00048517213440179993,0.00024,0.0009499473669630333,0.0001343428449899733
ER,4,max,4,0.5,0.2,0.0,1.6,50,15000,0.012119999999999962,0.0032350579592953107,0.0004575062841098456,0.00028000000000000003,0.0009806120537705014,0.00013867948658687778
ER,4,max,4,0.5,0.2,0.0,1.7,50,15000,0.011519999999999964,0.0030082553083140957,0.00042543154560986505,0.00024,0.0009499473669630332,0.0001343428449899733
