Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.0,0.0,1.0,50,15000,1.0,0.0,0.0,0.9968,0.001743559577416271,0.0002465765601187593
BA,4,max,1,0.5,0.0,0.0,1.1,50,15000,1.0,0.0,0.0,0.9973199999999999,0.001173712060089698,0.00016598795136997158
BA,4,max,1,0.5,0.0,0.0,1.2,50,15000,1.0,0.0,0.0,0.9970799999999999,0.0015078461459976625,0.0002132416469641896
BA,4,max,1,0.5,0.0,0.0,1.3,50,15000,1.0,0.0,0.0,0.9968799999999999,0.0017045820602130028,0.00024106430677311002
BA,4,max,1,0.5,0.0,0.0,1.4,50,15000,1.0,0.0,0.0,0.9968799999999999,0.001750885490259145,0.0002476126006486748
BA,4,max,1,0.5,0.0,0.0,1.5,50,15000,1.0,0.0,0.0,0.9968400000000002,0.0021574058496258903,0.0003051032612083984
BA,4,max,1,0.5,0.0,0.0,1.6,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9573599999999999,0.19400141855151473,0.02743594372351715
BA,4,max,1,0.5,0.0,0.0,1.7,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9571600000000001,0.19477826983521543,0.027545807085652796
BA,4,max,1,0.5,0.0,0.0,1.8,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9770000000000002,0.13900920832808164,0.019658870771232004
BA,4,max,1,0.5,0.0,0.0,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769199999999999,0.1387147922897915,0.019617234055798998
BA,4,max,1,0.5,0.0,0.0,2.0,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9569999999999999,0.1943338364773361,0.027482954717424398
BA,4,max,1,0.5,0.0,0.1,1.0,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0018225257199831245,0.0002577440590973924
BA,4,max,1,0.5,0.0,0.1,1.1,50,15000,1.0,0.0,0.0,0.99676,0.002112439348241745,0.00029874403759740575
BA,4,max,1,0.5,0.0,0.1,1.2,50,15000,1.0,0.0,0.0,0.9967599999999999,0.0023963305281200276,0.00033889231327960244
BA,4,max,1,0.5,0.0,0.1,1.3,50,15000,1.0,0.0,0.0,0.99712,0.0013362634470792064,0.0001889761889762836
BA,4,max,1,0.5,0.0,0.1,1.4,50,15000,1.0,0.0,0.0,0.9962400000000001,0.0025499803920814787,0.000360621685426709
BA,4,max,1,0.5,0.0,0.1,1.5,50,15000,1.0,0.0,0.0,0.9970399999999999,0.0014554724318928214,0.0002058348852842979
BA,4,max,1,0.5,0.0,0.1,1.6,50,15000,1.0,0.0,0.0,0.99688,0.001750885490259145,0.0002476126006486748
BA,4,max,1,0.5,0.0,0.1,1.7,50,15000,1.0,0.0,0.0,0.9969199999999999,0.001397712416772493,0.00019766638560969352
BA,4,max,1,0.5,0.0,0.1,1.8,50,15000,1.0,0.0,0.0,0.9966799999999999,0.002101808744867146,0.000297240643250549
