Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
ER,16,max,1,0.5,0.0,0.0,1.0,50,15000,1.0,0.0,0.0,0.9972399999999999,0.001320000000000001,0.00018667619023324868
ER,16,max,1,0.5,0.0,0.0,1.1,50,15000,0.96,0.19595917942265426,0.027712812921102038,0.9571599999999999,0.19436587766375044,0.027487486025462568
ER,16,max,1,0.5,0.0,0.0,1.2,50,15000,0.0,0.0,0.0,0.0038,0.002163330765278394,0.0003059411708155671
ER,16,max,1,0.5,0.0,0.0,1.3,50,15000,0.0,0.0,0.0,0.0036400000000000004,0.0021795412361320446,0.0003082336775889358
ER,16,max,1,0.5,0.0,0.0,1.4,50,15000,0.0,0.0,0.0,0.00412,0.0026656331330473814,0.00037697745290666916
ER,16,max,1,0.5,0.0,0.0,1.5,50,15000,0.0,0.0,0.0,0.004240000000000001,0.002760869428277984,0.00039044589894119775
ER,16,max,1,0.5,0.0,0.0,1.6,50,15000,0.0,0.0,0.0,0.004200000000000001,0.002569046515733026,0.000363318042491699
ER,16,max,1,0.5,0.0,0.0,1.7,50,15000,0.0,0.0,0.0,0.004200000000000001,0.0024083189157584595,0.00034058772731852805
ER,16,max,1,0.5,0.0,0.0,1.8,50,15000,0.0,0.0,0.0,0.00444,0.0030010664771044308,0.00042441489135043315
ER,16,max,1,0.5,0.0,0.0,1.9,50,15000,0.0,0.0,0.0,0.0048400000000000006,0.003941370320079046,0.0005573939360990573
ER,16,max,1,0.5,0.0,0.0,2.0,50,15000,0.0,0.0,0.0,0.0058000000000000005,0.005079370039680118,0.0007183313998427189
ER,16,max,1,0.5,0.0,0.1,1.0,50,15000,1.0,0.0,0.0,0.99664,0.0020567936211491923,0.0002908745434031657
ER,16,max,1,0.5,0.0,0.1,1.1,50,15000,0.92,0.2712931993250107,0.03836665218650175,0.91732,0.26874600945874527,0.03800642514102057
ER,16,max,1,0.5,0.0,0.1,1.2,50,15000,0.0,0.0,0.0,0.004960000000000001,0.0034696397507522304,0.0004906811592062609
ER,16,max,1,0.5,0.0,0.1,1.3,50,15000,0.0,0.0,0.0,0.00404,0.0030063931878581683,0.00042516820200951054
ER,16,max,1,0.5,0.0,0.1,1.4,50,15000,0.0,0.0,0.0,0.0035200000000000006,0.00206145579627602,0.00029153387453261756
ER,16,max,1,0.5,0.0,0.1,1.5,50,15000,0.0,0.0,0.0,0.005,0.003,0.0004242640687119285
ER,16,max,1,0.5,0.0,0.1,1.6,50,15000,0.0,0.0,0.0,0.0036400000000000004,0.0028196453677723373,0.00039875807201861127
ER,16,max,1,0.5,0.0,0.1,1.7,50,15000,0.0,0.0,0.0,0.004560000000000001,0.0028011426240018554,0.0003961413889004783
ER,16,max,1,0.5,0.0,0.1,1.8,50,15000,0.0,0.0,0.0,0.0051600000000000005,0.004383423319735387,0.0006199096708392279
ER,16,max,1,0.5,0.0,0.1,1.9,50,15000,0.0,0.0,0.0,0.00436,0.002643936459145719,0.0003739090798576574
