b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01
1.100000000000000089e+00,7.313999999999998280e-01,7.354000000000000536e-01,6.650000000000001465e-01,6.518000000000000460e-01,6.518000000000000460e-01,6.518000000000000460e-01
1.199999999999999956e+00,6.049999999999999822e-01,5.450000000000000400e-01,4.715999999999999637e-01,4.478000000000000314e-01,4.478000000000000314e-01,4.478000000000000314e-01
1.300000000000000044e+00,4.628000000000001002e-01,3.752000000000000335e-01,3.186000000000000498e-01,3.190000000000000058e-01,3.190000000000000058e-01,3.190000000000000058e-01
1.399999999999999911e+00,3.371999999999999997e-01,2.716000000000000081e-01,1.940000000000000335e-01,1.914000000000000146e-01,1.914000000000000146e-01,1.914000000000000146e-01
1.500000000000000000e+00,1.954000000000000181e-01,1.235999999999999877e-01,7.119999999999999940e-02,7.359999999999999876e-02,7.359999999999999876e-02,7.359999999999999876e-02
1.600000000000000089e+00,1.347999999999999754e-01,6.700000000000000400e-02,3.960000000000000325e-02,4.159999999999999809e-02,4.159999999999999809e-02,4.159999999999999809e-02
1.700000000000000178e+00,5.860000000000000625e-02,4.320000000000000229e-02,2.359999999999999945e-02,1.760000000000000106e-02,1.760000000000000106e-02,1.760000000000000106e-02
1.800000000000000044e+00,3.179999999999999494e-02,1.260000000000000009e-02,9.000000000000001055e-03,1.000000000000000021e-02,1.000000000000000021e-02,1.000000000000000021e-02
1.899999999999999911e+00,8.400000000000001216e-03,6.000000000000000125e-03,8.600000000000001740e-03,6.199999999999999782e-03,6.199999999999999782e-03,6.199999999999999782e-03
2.000000000000000000e+00,8.800000000000000530e-03,4.000000000000000083e-03,3.799999999999999992e-03,2.800000000000000405e-03,2.800000000000000405e-03,2.800000000000000405e-03
