generation,frac_coop,frac_vig,avg_T
0,0.52,0.11,1.4172538691160126
1,0.525,0.01,1.5324511049845535
2,0.515,0.0,1.5959706554887227
3,0.495,0.0,1.6
4,0.49,0.0,1.6
5,0.475,0.0,1.6
6,0.475,0.0,1.6
7,0.455,0.0,1.6
8,0.445,0.0,1.6
9,0.455,0.0,1.6
10,0.435,0.0,1.6
11,0.425,0.0,1.6
12,0.45,0.0,1.6
13,0.425,0.0,1.6
14,0.415,0.0,1.6
15,0.415,0.0,1.6
16,0.435,0.0,1.6
17,0.4,0.0,1.6
18,0.405,0.0,1.6
19,0.4,0.0,1.6
20,0.37,0.0,1.6
21,0.36,0.0,1.6
22,0.355,0.0,1.6
23,0.33,0.0,1.6
24,0.32,0.0,1.6
25,0.345,0.0,1.6
26,0.345,0.0,1.6
27,0.34,0.0,1.6
28,0.325,0.0,1.6
29,0.325,0.0,1.6
30,0.305,0.0,1.6
31,0.315,0.0,1.6
32,0.33,0.0,1.6
33,0.33,0.0,1.6
34,0.325,0.0,1.6
35,0.325,0.0,1.6
36,0.32,0.0,1.6
37,0.335,0.0,1.6
38,0.345,0.0,1.6
39,0.335,0.0,1.6
40,0.325,0.0,1.6
41,0.355,0.0,1.6
42,0.365,0.0,1.6
43,0.38,0.0,1.6
44,0.35,0.0,1.6
45,0.335,0.0,1.6
46,0.325,0.0,1.6
47,0.345,0.0,1.6
48,0.375,0.0,1.6
49,0.35,0.0,1.6
50,0.345,0.0,1.6
51,0.38,0.0,1.6
52,0.355,0.0,1.6
53,0.355,0.0,1.6
54,0.37,0.0,1.6
55,0.38,0.0,1.6
56,0.4,0.0,1.6
57,0.385,0.0,1.6
58,0.425,0.0,1.6
59,0.415,0.0,1.6
60,0.425,0.0,1.6
61,0.42,0.0,1.6
62,0.44,0.0,1.6
63,0.455,0.0,1.6
64,0.45,0.0,1.6
65,0.47,0.0,1.6
66,0.465,0.0,1.6
67,0.49,0.0,1.6
68,0.485,0.0,1.6
69,0.455,0.0,1.6
70,0.45,0.0,1.6
71,0.485,0.0,1.6
72,0.48,0.0,1.6
73,0.455,0.0,1.6
74,0.43,0.0,1.6
75,0.44,0.0,1.6
76,0.445,0.0,1.6
77,0.445,0.0,1.6
78,0.42,0.0,1.6
79,0.45,0.0,1.6
80,0.47,0.0,1.6
81,0.505,0.0,1.6
82,0.51,0.0,1.6
83,0.51,0.0,1.6
84,0.465,0.0,1.6
85,0.49,0.0,1.6
86,0.48,0.0,1.6
87,0.485,0.0,1.6
88,0.49,0.0,1.6
89,0.475,0.0,1.6
90,0.445,0.0,1.6
91,0.43,0.0,1.6
92,0.45,0.0,1.6
93,0.49,0.0,1.6
94,0.45,0.0,1.6
95,0.48,0.0,1.6
96,0.495,0.0,1.6
97,0.485,0.0,1.6
98,0.485,0.0,1.6
99,0.505,0.0,1.6
100,0.48,0.0,1.6
101,0.44,0.0,1.6
102,0.455,0.0,1.6
103,0.485,0.0,1.6
104,0.485,0.0,1.6
105,0.485,0.0,1.6
106,0.52,0.0,1.6
107,0.505,0.0,1.6
108,0.47,0.0,1.6
109,0.48,0.0,1.6
110,0.475,0.0,1.6
111,0.49,0.0,1.6
112,0.485,0.0,1.6
113,0.485,0.0,1.6
114,0.46,0.0,1.6
115,0.47,0.0,1.6
116,0.465,0.0,1.6
117,0.485,0.0,1.6
118,0.51,0.0,1.6
119,0.52,0.0,1.6
120,0.505,0.0,1.6
121,0.51,0.0,1.6
122,0.535,0.0,1.6
123,0.53,0.0,1.6
124,0.54,0.0,1.6
125,0.5,0.0,1.6
126,0.53,0.0,1.6
127,0.56,0.0,1.6
128,0.56,0.0,1.6
129,0.54,0.0,1.6
130,0.54,0.0,1.6
131,0.57,0.0,1.6
132,0.6,0.0,1.6
133,0.565,0.0,1.6
134,0.555,0.0,1.6
135,0.575,0.0,1.6
136,0.585,0.0,1.6
137,0.63,0.0,1.6
138,0.63,0.0,1.6
139,0.595,0.0,1.6
140,0.62,0.0,1.6
141,0.595,0.0,1.6
142,0.57,0.0,1.6
143,0.585,0.0,1.6
144,0.595,0.0,1.6
145,0.6,0.0,1.6
146,0.555,0.0,1.6
147,0.555,0.0,1.6
148,0.575,0.0,1.6
149,0.565,0.0,1.6
150,0.56,0.0,1.6
151,0.535,0.0,1.6
152,0.54,0.0,1.6
153,0.535,0.0,1.6
154,0.53,0.0,1.6
