b,theta,rho_mean,rho_std
1.0,0.3,1.0,0.0
1.1,0.3,0.9378666666666666,0.16282938777692899
1.2,0.3,0.8246,0.29477080685072693
1.3,0.3,0.6180666666666668,0.383334331261641
1.4,0.3,0.3204666666666667,0.2573699024102598
1.5,0.3,0.16206666666666666,0.2395005119787748
1.6,0.3,0.12286666666666667,0.08498476053863731
1.7,0.3,0.046000000000000006,0.04348727235804583
1.8,0.3,0.035800000000000005,0.030931260193255258
1.9,0.3,0.015600000000000001,0.028007141946296485
2.0,0.3,0.0068000000000000005,0.013246023662108674
