b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.097999999999999421e-01,9.097999999999999421e-01,9.097999999999999421e-01,9.097999999999999421e-01,9.097999999999999421e-01,9.097999999999999421e-01
1.100000000000000089e+00,9.065999999999999615e-01,8.999999999999999112e-01,8.621999999999999664e-01,8.816000000000001613e-01,8.828000000000001402e-01,8.828000000000001402e-01
1.199999999999999956e+00,9.072000000000000064e-01,8.387999999999999901e-01,8.303999999999999160e-01,8.490000000000000879e-01,8.491999999999998439e-01,8.441999999999998394e-01
1.300000000000000044e+00,8.901999999999997693e-01,8.155999999999999917e-01,7.700000000000000178e-01,7.992000000000000215e-01,8.068000000000000727e-01,8.046000000000000929e-01
1.399999999999999911e+00,7.983999999999999986e-01,8.105999999999998762e-01,7.311999999999998501e-01,7.335999999999998078e-01,7.334000000000000519e-01,7.334000000000000519e-01
1.500000000000000000e+00,7.841999999999998971e-01,7.536000000000000476e-01,6.602000000000000091e-01,6.345999999999999419e-01,6.311999999999999833e-01,6.311999999999999833e-01
1.600000000000000089e+00,7.395999999999999241e-01,7.219999999999999751e-01,5.916000000000000147e-01,5.832000000000000517e-01,5.882000000000000561e-01,5.882000000000000561e-01
1.700000000000000178e+00,7.102000000000000535e-01,6.922000000000000375e-01,5.130000000000000115e-01,4.813999999999999946e-01,4.883999999999999453e-01,4.883999999999999453e-01
1.800000000000000044e+00,6.957999999999999741e-01,6.437999999999999279e-01,4.202000000000000179e-01,4.507999999999999785e-01,4.392000000000000348e-01,4.392000000000000348e-01
1.899999999999999911e+00,6.251999999999999780e-01,5.467999999999999527e-01,3.635999999999999788e-01,3.553999999999999937e-01,3.516000000000000236e-01,3.573999999999999955e-01
2.000000000000000000e+00,5.947999999999999954e-01,5.204000000000000847e-01,3.512000000000000677e-01,3.214000000000000190e-01,3.082000000000000295e-01,3.214000000000000190e-01
