b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01
1.100000000000000089e+00,9.769999999999999796e-01,9.897999999999999021e-01,9.881999999999999673e-01,9.881999999999999673e-01,9.881999999999999673e-01,9.881999999999999673e-01
1.199999999999999956e+00,9.747999999999999998e-01,9.696000000000001284e-01,9.674000000000000377e-01,9.674000000000000377e-01,9.674000000000000377e-01,9.674000000000000377e-01
1.300000000000000044e+00,9.871999999999999664e-01,9.712000000000000632e-01,9.696000000000001284e-01,9.696000000000001284e-01,9.696000000000001284e-01,9.696000000000001284e-01
1.399999999999999911e+00,9.677999999999999936e-01,9.831999999999999629e-01,9.707999999999999963e-01,9.707999999999999963e-01,9.707999999999999963e-01,9.707999999999999963e-01
1.500000000000000000e+00,9.677999999999999936e-01,9.065999999999999615e-01,9.048000000000000487e-01,9.048000000000000487e-01,9.048000000000000487e-01,9.048000000000000487e-01
1.600000000000000089e+00,9.135999999999999677e-01,8.356000000000000094e-01,7.668000000000000371e-01,7.668000000000000371e-01,7.668000000000000371e-01,7.668000000000000371e-01
1.700000000000000178e+00,9.368000000000000771e-01,8.199999999999999512e-01,7.752000000000000002e-01,7.654000000000000803e-01,7.654000000000000803e-01,7.654000000000000803e-01
1.800000000000000044e+00,8.835999999999999410e-01,7.612000000000000988e-01,6.353999999999999648e-01,6.353999999999999648e-01,6.353999999999999648e-01,6.353999999999999648e-01
1.899999999999999911e+00,8.813999999999999613e-01,7.044000000000000261e-01,5.705999999999999961e-01,5.705999999999999961e-01,5.705999999999999961e-01,5.705999999999999961e-01
2.000000000000000000e+00,8.024000000000001132e-01,5.870000000000000773e-01,4.433999999999999608e-01,4.433999999999999608e-01,4.433999999999999608e-01,4.433999999999999608e-01
