b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01
1.100000000000000089e+00,9.457867183110658660e-01,9.901546909806765440e-01,9.039288794692618145e-01,9.025003080406903688e-01,9.025003080406903688e-01,9.025003080406903688e-01
1.199999999999999956e+00,9.593999362587323221e-01,8.931274132022022361e-01,8.038651900053279675e-01,8.038651900053279675e-01,8.062772503068355023e-01,8.062772503068355023e-01
1.300000000000000044e+00,9.165895775720547256e-01,7.001356238375484597e-01,2.655613206351626343e-01,2.615920898659318539e-01,2.615920898659318539e-01,2.615920898659318539e-01
1.399999999999999911e+00,6.369043722185656620e-01,3.767787818141010714e-01,6.524904103389395083e-02,6.959628747015689232e-02,6.959628747015689232e-02,6.959628747015689232e-02
1.500000000000000000e+00,1.654230675316248067e-01,6.195618041241719026e-02,9.632792173375143499e-03,6.966125506708478222e-03,6.966125506708478222e-03,6.966125506708478222e-03
1.600000000000000089e+00,4.037967612893872404e-02,1.460029907260167702e-02,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
1.700000000000000178e+00,5.277829804587302540e-03,2.468939994713190578e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
1.800000000000000044e+00,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
1.899999999999999911e+00,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
2.000000000000000000e+00,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
