b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,85680;0,85680;0,85680;0,85680;0,85680;0,85680
1,10;0,65860;0,64540;0,41640;0,42900;0,42900;0,42900
1,20;0,36160;0,31080;0,20900;0,21340;0,21340;0,21340
1,30;0,15780;0,10980;0,10120;0,09600;0,09600;0,09600
1,40;0,10100;0,06380;0,05200;0,05200;0,05200;0,05200
1,50;0,04440;0,02960;0,03260;0,02260;0,02260;0,02260
1,60;0,02620;0,01680;0,01620;0,01440;0,01440;0,01440
1,70;0,01440;0,00800;0,00940;0,00840;0,00840;0,00840
1,80;0,00520;0,00460;0,00180;0,00220;0,00220;0,00220
1,90;0,00480;0,00160;0,00220;0,00100;0,00100;0,00100
2,00;0,00080;0,00060;0,00060;0,00120;0,00120;0,00120
