b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9792000000000001,1.0,1.0,0.9775999999999999,0.9998,0.9965999999999999
1.1,0.977,1.0,0.9702,0.9915999999999999,1.0,0.996
1.2,0.9742000000000001,1.0,0.9998,0.9728,1.0,0.9962000000000001
1.3,0.9886,0.96,0.9994,0.9596000000000001,0.9584,0.9962000000000001
1.4,0.9865999999999999,0.9181999999999999,0.961,0.8967999999999999,0.9126000000000001,0.9887999999999999
1.5,0.9690000000000001,0.9556,0.8660000000000001,0.8687999999999999,0.872,0.9422
1.6,0.9620000000000001,0.8543999999999999,0.8136,0.8016,0.8036,0.899
1.7000000000000002,0.8904,0.8493999999999999,0.7400000000000001,0.6733999999999999,0.6825999999999999,0.8824
1.8,0.8756,0.8391999999999998,0.659,0.5446,0.5918,0.7568
1.9,0.8518000000000001,0.7565999999999999,0.6251999999999999,0.5532,0.49119999999999997,0.6642
2.0,0.7345999999999999,0.588,0.375,0.37020000000000003,0.33799999999999997,0.49660000000000004
