b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.8880000000000001,0.8825999999999999,0.973,0.9196000000000001,0.9244,0.9612
1.1,0.6140000000000001,0.7672,0.66,0.6766,0.8430000000000001,0.6446000000000001
1.2,0.28,0.4938,0.32900000000000007,0.3632,0.46659999999999996,0.42100000000000004
1.3,0.04,0.0806,0.0392,0.11280000000000001,0.18359999999999999,0.08020000000000001
1.4,0.0,0.0,0.037000000000000005,0.037000000000000005,0.0,0.0
1.5,0.0,0.0018,0.0078000000000000005,0.0,0.0,0.0
1.6,0.0,0.04,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
