b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9986,0.795,0.0,0.0,0.0,0.0
1.1,0.995,0.7170000000000001,0.0,0.0,0.0,0.0
1.2,0.915,0.841,0.0,0.0,0.0,0.0
1.3,0.9022,0.7012,0.0,0.0,0.0,0.0
1.4,0.9848,0.738,0.0,0.0,0.0,0.0
1.5,0.8809999999999999,0.5988,0.0,0.0,0.0,0.0
1.6,0.8917999999999999,0.6722,0.0,0.0,0.0,0.0
1.7000000000000002,0.8996000000000001,0.4386,0.0,0.0,0.0,0.0
1.8,0.7347999999999999,0.2384,0.0,0.0,0.0,0.0
1.9,0.7606,0.24080000000000001,0.0,0.0,0.0,0.0
2.0,0.5516,0.2284,0.0,0.0,0.0,0.0
