b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01,8.396000000000001240e-01
1.100000000000000089e+00,7.317999999999998950e-01,6.955999999999999961e-01,6.303999999999999604e-01,6.091999999999999638e-01,6.434000000000000830e-01,6.434000000000000830e-01
1.199999999999999956e+00,6.585999999999999632e-01,6.141999999999999682e-01,4.704000000000000403e-01,4.712000000000000632e-01,4.712000000000000632e-01,4.712000000000000632e-01
1.300000000000000044e+00,5.122000000000000997e-01,4.924000000000000044e-01,2.846000000000000196e-01,3.221999999999999864e-01,3.221999999999999864e-01,3.221999999999999864e-01
1.399999999999999911e+00,3.905999999999999472e-01,3.020000000000000462e-01,1.606000000000000205e-01,1.718000000000000083e-01,1.718000000000000083e-01,1.718000000000000083e-01
1.500000000000000000e+00,2.792000000000000592e-01,2.781999999999999473e-01,8.119999999999999440e-02,8.319999999999998230e-02,8.319999999999998230e-02,8.319999999999998230e-02
1.600000000000000089e+00,1.550000000000000266e-01,1.260000000000000009e-01,4.400000000000000439e-02,4.379999999999999866e-02,4.340000000000000802e-02,4.340000000000000802e-02
1.700000000000000178e+00,1.100000000000000006e-01,7.359999999999999876e-02,1.499999999999999944e-02,1.460000000000000187e-02,1.460000000000000187e-02,1.460000000000000187e-02
1.800000000000000044e+00,3.720000000000000390e-02,3.160000000000000309e-02,9.799999999999999684e-03,1.039999999999999952e-02,1.039999999999999952e-02,1.039999999999999952e-02
1.899999999999999911e+00,2.040000000000000147e-02,5.199999999999999761e-03,6.400000000000000307e-03,4.599999999999999922e-03,4.599999999999999922e-03,4.599999999999999922e-03
2.000000000000000000e+00,1.780000000000000332e-02,2.399999999999999790e-03,5.000000000000000104e-03,4.599999999999999922e-03,4.599999999999999922e-03,4.599999999999999922e-03
