b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,91;0,91;0,91;0,91;0,91;0,91
1,10;0,91;0,90;0,86;0,88;0,88;0,88
1,20;0,91;0,84;0,83;0,85;0,85;0,84
1,30;0,89;0,82;0,77;0,80;0,81;0,80
1,40;0,80;0,81;0,73;0,73;0,73;0,73
1,50;0,78;0,75;0,66;0,63;0,63;0,63
1,60;0,74;0,72;0,59;0,58;0,59;0,59
1,70;0,71;0,69;0,51;0,48;0,49;0,49
1,80;0,70;0,64;0,42;0,45;0,44;0,44
1,90;0,63;0,55;0,36;0,36;0,35;0,36
2,00;0,59;0,52;0,35;0,32;0,31;0,32
;;;;;;
;;;;;;
AUC;;;;;;
;0,091;0,090;0,089;0,090;0,090;0,090
;0,091;0,087;0,085;0,087;0,087;0,086
;0,090;0,083;0,080;0,082;0,083;0,082
;0,084;0,081;0,075;0,077;0,077;0,077
;0,079;0,078;0,070;0,068;0,068;0,068
;0,076;0,074;0,063;0,061;0,061;0,061
;0,072;0,071;0,055;0,053;0,054;0,054
;0,070;0,067;0,047;0,047;0,046;0,046
;0,066;0,060;0,039;0,040;0,040;0,040
;0,061;0,053;0,036;0,034;0,033;0,034
;;;;;;
TOTAL;0,781;0,744;0,637;0,638;0,638;0,638
;;;;;;
