b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.356060299678850001e-01,9.356060299678850001e-01,9.356060299678850001e-01,9.356060299678850001e-01,9.356060299678850001e-01,9.356060299678850001e-01
1.100000000000000089e+00,8.885116540907721516e-01,8.811739346560660824e-01,7.995450825361234415e-01,7.787577114725243721e-01,7.859586478633453499e-01,7.811345272603301693e-01
1.199999999999999956e+00,7.848670073419259374e-01,8.066656490728313367e-01,5.595641869227552245e-01,5.286528158231209584e-01,5.369638934625902138e-01,5.329437929600776558e-01
1.300000000000000044e+00,6.920989663661584190e-01,6.878378984640616256e-01,3.307804945518164064e-01,3.310334160515883695e-01,3.351657199627897654e-01,3.367737601637947886e-01
1.399999999999999911e+00,4.938638877885074274e-01,4.706323403667962424e-01,2.230058894503114397e-01,2.223172121139843915e-01,2.306847243214356635e-01,2.290766841204306126e-01
1.500000000000000000e+00,3.905546981725553368e-01,3.518910554199451424e-01,1.465384623060762559e-01,1.460422701865339012e-01,1.266471858108965676e-01,1.296622611877810138e-01
1.600000000000000089e+00,2.765909516356073183e-01,2.407111513029499550e-01,6.331507461235505452e-02,9.558042568657311444e-02,9.639702540113337381e-02,9.659803042625901559e-02
1.700000000000000178e+00,1.725777071244438410e-01,1.692194771645198770e-01,5.373999676947784770e-02,4.009732986165856494e-02,5.101229364195045135e-02,5.020827354144793975e-02
1.800000000000000044e+00,1.258289514217736660e-01,8.119581609897204288e-02,4.472653211529294126e-02,4.620523108910358501e-02,5.515989603753061743e-02,5.515989603753061743e-02
1.899999999999999911e+00,8.199928077670871895e-02,5.330596939597362360e-02,3.666585828448620799e-02,2.401536721432370389e-02,2.417623429700456808e-02,2.397522927187894365e-02
2.000000000000000000e+00,5.494378876630696268e-02,5.053493286912387472e-02,2.974648430131365470e-02,2.873764643161557178e-02,1.918901265828623984e-02,1.858599758290935267e-02
