b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01,9.792000000000000703e-01
1.100000000000000089e+00,9.769999999999999796e-01,9.897999999999999021e-01,9.881999999999999673e-01,9.881999999999999673e-01,9.881999999999999673e-01,9.881999999999999673e-01
1.199999999999999956e+00,9.742000000000000659e-01,9.677999999999999936e-01,9.674000000000000377e-01,9.674000000000000377e-01,9.674000000000000377e-01,9.674000000000000377e-01
1.300000000000000044e+00,9.886000000000000343e-01,9.709999999999999742e-01,9.696000000000001284e-01,9.696000000000001284e-01,9.696000000000001284e-01,9.696000000000001284e-01
1.399999999999999911e+00,9.865999999999999215e-01,9.643999999999999240e-01,9.499999999999999556e-01,9.499999999999999556e-01,9.499999999999999556e-01,9.499999999999999556e-01
1.500000000000000000e+00,9.690000000000000835e-01,9.160000000000000364e-01,9.006000000000000671e-01,9.048000000000000487e-01,9.048000000000000487e-01,9.048000000000000487e-01
1.600000000000000089e+00,9.620000000000000773e-01,8.858000000000000318e-01,7.638000000000001455e-01,7.668000000000000371e-01,7.668000000000000371e-01,7.668000000000000371e-01
1.700000000000000178e+00,8.903999999999999693e-01,8.124000000000001220e-01,7.544000000000000705e-01,7.544000000000000705e-01,7.446000000000000396e-01,7.446000000000000396e-01
1.800000000000000044e+00,8.756000000000000449e-01,7.671999999999999931e-01,6.430000000000000160e-01,6.430000000000000160e-01,6.430000000000000160e-01,6.430000000000000160e-01
1.899999999999999911e+00,8.518000000000001126e-01,6.685999999999999721e-01,5.701999999999999291e-01,5.701999999999999291e-01,5.701999999999999291e-01,5.701999999999999291e-01
2.000000000000000000e+00,7.345999999999999197e-01,5.897999999999999909e-01,4.239999999999999880e-01,4.239999999999999880e-01,4.239999999999999880e-01,4.239999999999999880e-01
