b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9158,0.9968,0.9742000000000001,1.0,1.0,0.9922
1.1,0.9194,0.9653999999999999,1.0,1.0,0.9998,0.9586
1.2,0.9418000000000001,0.9834,0.9998,0.9996,0.9598,0.9818000000000001
1.3,0.8886,0.9987999999999999,0.9990000000000001,0.9643999999999999,0.8632000000000001,0.9294
1.4,0.9438,0.9964,0.996,0.8832,0.9762,0.9152
1.5,0.9540000000000001,0.9890000000000001,0.9016,0.8460000000000001,0.8862000000000001,0.8986000000000002
1.6,0.7889999999999999,0.9104000000000001,0.7848,0.8401999999999998,0.7814,0.8403999999999999
1.7000000000000002,0.7514,0.8252000000000002,0.73,0.7010000000000001,0.693,0.802
1.8,0.6190000000000001,0.6878,0.7348,0.5336000000000001,0.7136000000000001,0.7086
1.9,0.4742,0.5834,0.5182,0.5826,0.6834,0.6838000000000001
2.0,0.4142,0.5579999999999999,0.36300000000000004,0.39260000000000006,0.43,0.43939999999999996
