b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9584,0.6015999999999999,0.0,0.0,0.0,0.0
1.1,0.9102,0.7988,0.0,0.0,0.0,0.0
1.2,0.9208,0.7184,0.0,0.0,0.0,0.0
1.3,0.9604,0.5594,0.0,0.0,0.0,0.0
1.4,0.8778,0.43439999999999995,0.0,0.0,0.0,0.0
1.5,0.7315999999999999,0.33559999999999995,0.0,0.0,0.0,0.0
1.6,0.612,0.3628,0.0,0.0,0.0,0.0
1.7000000000000002,0.5312,0.37199999999999994,0.0,0.0,0.0,0.0
1.8,0.5391999999999999,0.3236,0.0,0.0,0.0,0.0
1.9,0.5097999999999999,0.10139999999999999,0.0,0.0,0.0,0.0
2.0,0.4972,0.1634,0.0,0.0,0.0,0.0
